epoch,val_total_grids,val_total_cells,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_quality
0,64,19394,0.00000000,0.13803238,0.02827413,0.97297781,0.01774859
0,36416,8472261,0.02605997,0.73627099,0.30336350,0.66933953,0.23212620
1,36416,8472261,0.02707601,0.84134412,0.32681103,0.62704306,0.25730281
2,36416,8472261,0.02910808,0.88126475,0.34865895,0.60589156,0.26276425
3,36416,8472261,0.03135984,0.88708717,0.33299970,0.63893358,0.27687679
4,36416,8472261,0.03182667,0.89147407,0.33150536,0.65025152,0.28356425
5,36416,8472261,0.03322715,0.89298028,0.33199637,0.65446853,0.28555101
6,36416,8472261,0.02943761,0.88883534,0.33774128,0.63973841,0.27719265
7,36416,8472261,0.03196397,0.88979730,0.32596805,0.66751992,0.28580405
8,36416,8472261,0.02982206,0.89189698,0.32824186,0.66246480,0.28525967
9,36416,8472261,0.03196397,0.89463049,0.32655331,0.67065551,0.28943298
10,36416,8472261,0.03248572,0.89579252,0.32661921,0.66845864,0.28963609
11,36416,8472261,0.03292509,0.89700825,0.32544199,0.67185499,0.29141426
12,36416,8472261,0.03237588,0.89121263,0.33284984,0.65712811,0.28125884
13,36416,8472261,0.03086555,0.89432868,0.32243656,0.67325486,0.29126873
14,36416,8472261,0.03215620,0.89460440,0.32740901,0.66202431,0.28740308
15,36416,8472261,0.03267794,0.89741168,0.32892093,0.67033843,0.29010245
16,36416,8472261,0.03292509,0.89819719,0.32282342,0.68139925,0.29525380
17,36416,8472261,0.03306239,0.89937267,0.32335414,0.68003161,0.29572245
18,36416,8472261,0.03240334,0.89406146,0.31602346,0.68498789,0.29381246
19,36416,8472261,0.03215620,0.89491908,0.32555213,0.67668238,0.28999233
20,36416,8472261,0.03229350,0.89676262,0.32942717,0.66471974,0.28904837
21,36416,8472261,0.03284271,0.89744379,0.32042960,0.68708229,0.29565315
22,36416,8472261,0.03289763,0.89966456,0.32615825,0.67817008,0.29431409
23,36416,8472261,0.03300747,0.90008535,0.32768397,0.67864633,0.29422623
24,36416,8472261,0.03281525,0.89636733,0.31840181,0.67984321,0.29534554
25,36416,8472261,0.03240334,0.89624777,0.31858717,0.69345758,0.29706372
26,36416,8472261,0.03325461,0.89736813,0.32607453,0.67345801,0.29169158
27,36416,8472261,0.03149714,0.89853441,0.32822340,0.67115735,0.29136136
28,36416,8472261,0.03270540,0.90058038,0.32655211,0.68216941,0.29504518
29,36416,8472261,0.03287017,0.90097815,0.32441380,0.68620151,0.29711296
30,36416,8472261,0.03190905,0.89707742,0.32786417,0.66949591,0.29068461
31,36416,8472261,0.03273286,0.89727158,0.32295316,0.68300079,0.29483120
32,36416,8472261,0.03262302,0.89843243,0.31887531,0.68724079,0.29762496
33,36416,8472261,0.03245826,0.89913826,0.32224971,0.68834657,0.29628721
34,36416,8472261,0.03278779,0.90081573,0.32190893,0.68766041,0.29723975
35,36416,8472261,0.03278779,0.90155178,0.32522178,0.68437811,0.29651536
36,36416,8472261,0.03267794,0.89747212,0.31436554,0.69535509,0.29931468
37,36416,8472261,0.03089301,0.89661024,0.32026354,0.67859941,0.29348299
38,36416,8472261,0.03221112,0.89797682,0.32218248,0.68548902,0.29565397
39,36416,8472261,0.03306239,0.89956317,0.32296297,0.68592783,0.29657945
40,36416,8472261,0.03300747,0.90051817,0.32403601,0.68514227,0.29677053
41,36416,8472261,0.03330953,0.90148663,0.32499631,0.68508439,0.29737695
42,36416,8472261,0.03265048,0.89770759,0.31462349,0.69853991,0.30046340
43,36416,8472261,0.03265048,0.89665392,0.32553443,0.67155883,0.29107799
