epoch,val_total_grids,val_total_cells,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_quality
0,64,19394,0.00000000,0.14886047,0.02607773,0.98698415,0.01990002
0,36800,8472261,0.02785326,0.75124645,0.28824606,0.70022636,0.24686795
1,36800,8472261,0.03046196,0.86179864,0.33150232,0.60653719,0.26125851
2,36800,8472261,0.03048913,0.87304747,0.32698107,0.61695243,0.27023867
3,36800,8472261,0.03163043,0.88140922,0.31406978,0.65361864,0.28634301
4,36800,8472261,0.03201087,0.88440299,0.31619493,0.65696306,0.28930135
5,36800,8472261,0.03211957,0.88655472,0.31977238,0.65472777,0.28851556
6,36800,8472261,0.03182065,0.88180817,0.32517372,0.64776679,0.28193635
7,36800,8472261,0.03086957,0.88304857,0.32827797,0.64891299,0.28120750
8,36800,8472261,0.03111413,0.88701788,0.32260146,0.66087569,0.28702012
9,36800,8472261,0.03133152,0.88870244,0.32287106,0.66181617,0.28811685
10,36800,8472261,0.03135870,0.89084283,0.31784050,0.67029013,0.29370269
11,36800,8472261,0.03182065,0.89201796,0.32053510,0.66680225,0.29322669
12,36800,8472261,0.02945652,0.88546304,0.33360999,0.64379431,0.27851491
13,36800,8472261,0.03173913,0.88798433,0.31872524,0.66731011,0.29140844
14,36800,8472261,0.03002717,0.88879474,0.32318770,0.65625261,0.28822258
15,36800,8472261,0.03144022,0.89063120,0.32392737,0.66214387,0.28936811
16,36800,8472261,0.03190217,0.89232036,0.32390413,0.66631632,0.29185334
17,36800,8472261,0.03182065,0.89352842,0.32477736,0.66478327,0.29135322
18,36800,8472261,0.03119565,0.88785048,0.31933951,0.67035752,0.28920618
19,36800,8472261,0.03084239,0.88855419,0.32529694,0.67091843,0.28917762
20,36800,8472261,0.02986413,0.89063333,0.32829176,0.65976077,0.28722731
21,36800,8472261,0.03152174,0.89170895,0.33079015,0.65538033,0.28598354
22,36800,8472261,0.03198370,0.89310964,0.32648061,0.66134708,0.28989047
23,36800,8472261,0.03157609,0.89402156,0.32828580,0.66288624,0.29011056
24,36800,8472261,0.03062500,0.88871577,0.32512906,0.65833260,0.28708747
25,36800,8472261,0.03105978,0.88842317,0.32004959,0.68436455,0.29110635
26,36800,8472261,0.03149457,0.89073224,0.32421625,0.66257854,0.28872421
27,36800,8472261,0.03092391,0.89148009,0.32816374,0.65874422,0.28717098
28,36800,8472261,0.03157609,0.89375221,0.32725873,0.66672255,0.29044941
29,36800,8472261,0.03179348,0.89453075,0.32835824,0.66681254,0.29067709
0,64,19394,0.00000000,0.09631845,0.05768731,0.88958863,0.00648976
0,36800,8472261,0.02948370,0.75421189,0.29741924,0.68615848,0.24407361
1,36800,8472261,0.03097826,0.87494743,0.31664193,0.64640223,0.27975325
2,36800,8472261,0.02989130,0.87914725,0.32664661,0.64929524,0.28000133
3,36800,8472261,0.02951087,0.88505453,0.32119999,0.66029631,0.28796852
4,36800,8472261,0.02964674,0.88904072,0.31858161,0.67191724,0.29226308
5,36800,8472261,0.03160326,0.89015105,0.32200783,0.66994349,0.29227140
6,36800,8472261,0.03152174,0.88618587,0.31806588,0.67225179,0.29059554
7,36800,8472261,0.03154891,0.88659757,0.31541740,0.67480522,0.29131219
8,36800,8472261,0.02847826,0.88962628,0.32909787,0.65366677,0.28571017
9,36800,8472261,0.03125000,0.89205798,0.31688162,0.67731044,0.29479242
10,36800,8472261,0.03160326,0.89411610,0.31563498,0.68344095,0.29869438
11,36800,8472261,0.03163043,0.89529631,0.31606256,0.68280611,0.30006731
12,36800,8472261,0.03141304,0.89087057,0.31535216,0.67755430,0.29522877
13,36800,8472261,0.02910326,0.89199731,0.32075191,0.67338255,0.29184408
14,36800,8472261,0.03133152,0.89374466,0.31223771,0.68874527,0.29927803
15,36800,8472261,0.03100543,0.89580633,0.31979162,0.67660743,0.29717667
16,36800,8472261,0.03105978,0.89747318,0.32133381,0.68061467,0.29725801
17,36800,8472261,0.03168478,0.89864996,0.32065757,0.68311176,0.29910900
18,36800,8472261,0.03029891,0.89406051,0.31710274,0.68208409,0.29706690
19,36800,8472261,0.02986413,0.89396585,0.32109063,0.67000312,0.29348256
20,36800,8472261,0.03095109,0.89629132,0.31691483,0.68719204,0.29877142
21,36800,8472261,0.03130435,0.89692692,0.32348882,0.67329001,0.29597323
22,36800,8472261,0.03146739,0.89910179,0.32471733,0.67567620,0.29742192
23,36800,8472261,0.03163043,0.90006434,0.32566300,0.67979695,0.29757510
24,36800,8472261,0.02989130,0.89534057,0.31931989,0.67576708,0.29491518
25,36800,8472261,0.03089674,0.89497927,0.31773155,0.68827853,0.29662538
26,36800,8472261,0.03114130,0.89634821,0.31887063,0.68882275,0.29768628
27,36800,8472261,0.02959239,0.89785194,0.32453020,0.67999670,0.29532785
28,36800,8472261,0.03111413,0.89955137,0.32353772,0.68299618,0.29828424
29,36800,8472261,0.03105978,0.90062428,0.32599505,0.67841861,0.29742803
