epoch,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_quality
0,0.00000000,0.08306693,0.04276164,0.86283433,0.00828455
0,0.00000000,0.08059194,0.05883577,0.80233330,0.00701481
0,0.03166191,0.71006653,0.28057718,0.66233774,0.22485573
1,0.03166191,0.70824990,0.27959263,0.67325849,0.22608745
2,0.03166191,0.71618261,0.27408477,0.68443237,0.23174944
3,0.03166191,0.71530351,0.27832967,0.67419832,0.22887145
4,0.03166191,0.72166816,0.27872350,0.68291967,0.23383928
5,0.03166191,0.72161741,0.27785059,0.67935704,0.23439365
6,0.03166191,0.71238894,0.27775561,0.68736812,0.23051683
7,0.03166191,0.71062506,0.27645414,0.68787132,0.23124745
8,0.03166191,0.70476216,0.27569817,0.69423082,0.23061026
9,0.03166191,0.70943577,0.27633455,0.68765735,0.22943397
10,0.03166191,0.71140927,0.28036000,0.68074000,0.22759828
11,0.03166191,0.71010643,0.27995796,0.68215523,0.22802676
12,0.03160699,0.69929715,0.27289279,0.68950341,0.22638148
13,0.00851274,0.19314502,0.10296744,0.83416822,0.07272592
14,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
15,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
16,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
17,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
18,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
19,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
20,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
21,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
22,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
23,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
24,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
25,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
26,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
27,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
28,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
29,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
