epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
35,00d62c1b,C1,0.2500,94.4236,1,400,114515,121278,0.3667,0.7503,0.179016
35,0520fde7,C1,1.7500,81.4407,7,400,39287,48240,0.2439,0.7264,0.444050
35,0962bcdd,C1,0.0000,85.4922,0,400,139867,163602,0.4824,0.4269,0.136333
35,0a938d79,C1,0.0000,96.4148,0,400,155223,160995,0.4352,0.6959,0.177133
35,137eaa0f,C1,0.0000,22.2659,0,400,680,3054,0.0820,0.9153,0.215760
35,1b2d62fb,C1,4.2500,81.8610,17,400,44358,54187,0.2036,0.8014,0.529183
35,1c786137,C1,11.5000,53.0806,46,400,2688,5064,0.3368,0.6718,0.311265
35,1e0a9b12,C1,0.2500,91.9490,1,400,103278,112321,0.3301,0.6300,0.167258
35,1f642eb9,C1,0.0000,96.0768,0,400,123475,128517,0.4040,0.3410,0.037342
35,1f876c06,C1,0.0000,92.9915,0,400,120967,130084,0.4120,0.2157,0.030539
35,228f6490,C1,0.0000,97.1145,0,400,152091,156610,0.4921,0.7173,0.153202
35,234bbc79,C1,0.0000,87.5811,0,400,79909,91240,0.5997,0.2906,0.213297
35,23b5c85d,C1,94.0000,99.9039,376,400,10396,10406,0.2479,0.7253,0.694945
35,25d487eb,C1,0.7500,94.1967,3,400,149167,158357,0.4788,0.4207,0.091026
35,264363fd,S3,0.0000,95.7123,0,400,195726,204494,0.5694,0.7292,0.200352
35,272f95fa,S3,0.0000,97.0036,0,400,120170,123882,0.1823,0.9702,0.413154
35,27a28665,C1,0.0000,0.0000,0,16,0,0,0.1783,0.5739,0.000000
35,28e73c20,C1,0.0000,77.2999,0,400,83024,107405,0.1679,0.8150,0.259354
35,29623171,C1,0.0000,95.4351,0,400,73465,76979,0.3296,0.8560,0.245054
35,2dee498d,C1,1.7500,58.2464,7,400,20049,34421,0.3580,0.5704,0.289454
35,31aa019c,C1,0.0000,97.6525,0,400,120302,123194,0.2998,0.9277,0.267960
35,3618c87e,C1,0.0000,97.3632,0,400,107673,110589,0.3843,0.4101,0.044576
35,3631a71a,A2,0.0000,87.6500,0,400,135854,154996,0.3420,0.9843,0.361048
35,36d67576,C1,0.0000,93.4842,0,400,153431,164125,0.5036,0.2557,0.058477
35,39a8645d,C1,2.5000,49.4523,10,400,1535,3104,0.3878,0.5923,0.332827
35,3ac3eb23,C1,0.0000,92.0426,0,400,96607,104959,0.2855,0.7312,0.187329
35,3f7978a0,C1,0.0000,73.4864,0,400,16738,22777,0.5539,0.4666,0.377433
35,445eab21,C1,100.0000,100.0000,400,400,1200,1200,0.0310,0.9848,0.988716
35,447fd412,C1,0.0000,88.4741,0,400,157475,177990,0.4532,0.6349,0.240588
35,4522001f,S2,0.0000,93.9906,0,400,145849,155174,0.3196,0.9831,0.898423
35,50cb2852,C1,0.0000,96.2286,0,400,149189,155036,0.5015,0.8092,0.186523
35,5117e062,C1,15.7500,63.2575,63,400,2975,4703,0.3907,0.5971,0.438637
35,54d9e175,C1,0.0000,91.4984,0,400,92643,101251,0.1218,0.9797,0.374897
35,5ad4f10b,S3,3.0000,60.3289,12,400,3192,5291,0.4607,0.5395,0.371977
35,5bd6f4ac,C1,9.0000,55.7187,36,400,1783,3200,0.5116,0.6867,0.402988
35,5daaa586,C1,0.0000,75.3427,0,400,19510,25895,0.3082,0.7224,0.530929
35,60b61512,C1,0.0000,94.6416,0,400,155094,163875,0.4997,0.4115,0.080424
35,6150a2bd,C1,6.0000,60.8751,24,400,62635,102891,0.2113,0.6174,0.127918
35,62c24649,C1,8.0000,69.8195,32,400,73411,105144,0.2017,0.9085,0.542714
35,662c240a,C1,8.0000,33.7884,32,400,2772,8204,0.1808,0.8185,0.267917
35,67a423a3,C1,0.0000,95.8986,0,400,106318,110865,0.3832,0.5233,0.084027
35,681b3aeb,C1,0.0000,73.1323,0,400,8027,10976,0.1367,0.8704,0.621099
35,6cdd2623,S3,0.0000,85.9865,0,400,122805,142819,0.2797,0.8061,0.336277
35,6cf79266,S3,0.0000,90.0969,0,400,110594,122750,0.3097,0.7574,0.220625
35,6d0160f0,C1,0.0000,94.9953,0,400,93084,97988,0.2944,0.7814,0.183806
35,6e19193c,C1,1.5000,86.6085,6,400,98473,113699,0.3731,0.1096,0.023444
35,6ecd11f4,S3,0.0000,26.5721,0,400,1648,6202,0.5082,0.4907,0.134214
35,7447852a,C1,0.0000,85.5642,0,400,31189,36451,0.3612,0.4841,0.195831
35,7c008303,C1,0.2500,70.0311,1,400,60406,86256,0.2249,0.6879,0.338633
35,8731374e,S3,0.0000,83.6034,0,400,44069,52712,0.1754,0.8420,0.659879
35,8efcae92,S3,0.0000,72.1323,0,400,33429,46344,0.3177,0.6765,0.490756
35,90c28cc7,S3,0.5000,22.5613,2,400,3090,13696,0.1028,0.8929,0.204590
35,913fb3ed,C1,0.5000,79.0734,2,400,73271,92662,0.2422,0.5348,0.130645
35,91714a58,S3,0.0000,98.6422,0,400,132072,133890,0.3376,0.9345,0.257924
35,928ad970,C1,0.0000,92.6845,0,400,143280,154589,0.4733,0.5163,0.127923
35,941d9a10,C1,0.0000,97.5199,0,400,121736,124832,0.3968,0.5575,0.090526
35,9565186b,C1,1.5000,98.9167,6,400,99526,100616,0.2228,0.9273,0.287558
35,95990924,C1,0.7500,92.6724,3,400,116719,125948,0.4097,0.2772,0.063278
35,963e52fc,C1,0.0000,89.2505,0,400,116745,130806,0.2696,0.9405,0.652521
35,9af7a82c,C1,0.0000,84.6746,0,400,36184,42733,0.0735,0.9592,0.505187
35,9edfc990,C1,0.7500,91.8540,3,400,111452,121336,0.3403,0.5165,0.140219
35,a2fd1cf0,S3,0.0000,97.9164,0,400,112126,114512,0.3917,0.2990,0.033859
35,a61f2674,C1,0.0000,97.3061,0,400,127436,130964,0.3909,0.9732,0.259972
35,a8d7556c,S3,0.2500,88.6703,1,400,113263,127735,0.3194,0.7403,0.210500
35,ac0a08a4,S2,4.0000,92.6138,16,400,77101,83250,0.2675,0.9036,0.752651
35,b1948b0a,C1,1.2500,96.7024,5,400,98004,101346,0.2736,0.7364,0.230755
35,b548a754,C1,0.0000,96.5310,0,400,116008,120177,0.3412,0.7895,0.178334
35,b6afb2da,C1,0.0000,92.7941,0,400,147872,159355,0.4022,0.9845,0.344639
35,b782dc8a,S3,0.0000,95.3043,0,400,111365,116852,0.3886,0.4598,0.071592
35,bbc9ae5d,C1,0.2500,91.3076,1,400,64969,71154,0.3686,0.9103,0.772551
35,bc1d5164,C1,0.0000,82.5952,0,400,22603,27366,0.4068,0.6203,0.538711
35,bdad9b1f,C1,0.0000,87.9216,0,400,101327,115247,0.3044,0.6905,0.218660
35,c909285e,S3,0.0000,77.7119,0,400,8260,10629,0.2112,0.8053,0.646255
35,c9e6f938,C1,8.2500,62.7960,33,400,60406,96194,0.1922,0.8752,0.329819
35,cce03e0d,S2,0.0000,81.7021,0,400,54068,66177,0.2144,0.9502,0.730218
35,ce9e57f2,C1,0.0000,97.4973,0,400,126300,129542,0.4027,0.7354,0.125550
35,cf98881b,C1,0.0000,56.8607,0,400,20007,35186,0.2149,0.7580,0.385908
35,d037b0a7,C1,0.2500,93.9793,1,400,106300,113110,0.3288,0.6506,0.200396
35,d4469b4b,C1,0.0000,37.6875,0,400,1206,3200,0.0803,0.9261,0.344638
35,d90796e8,C1,0.0000,96.3340,0,400,104034,107993,0.3884,0.2124,0.019973
35,db3e9e38,C1,0.0000,93.2978,0,400,95912,102802,0.2482,0.6917,0.188495
35,ddf7fa4f,C1,0.0000,98.7634,0,400,151824,153725,0.4086,0.9489,0.262523
35,e40b9e2f,C1,0.0000,92.4690,0,400,117676,127260,0.4141,0.2223,0.036409
35,e48d4e1a,C1,0.0000,93.4576,0,400,101551,108660,0.2933,0.7570,0.190774
35,e50d258f,C1,2.5000,46.7736,10,400,5538,11840,0.1000,0.9138,0.433266
35,e98196ab,C1,0.0000,78.4946,0,400,42475,54112,0.5145,0.3873,0.288366
35,e9afcf9a,C1,9.2500,89.8358,37,400,94545,105242,0.2263,0.8686,0.229363
35,eb281b96,S2,0.0000,91.3917,0,400,115319,126181,0.1731,0.9982,0.805625
35,ec883f72,C1,0.0000,97.6748,0,400,123081,126011,0.4335,0.0026,0.000103
35,f1cefba8,S3,0.0000,92.6720,0,400,128752,138933,0.3361,0.7619,0.253437
35,f25ffba3,C1,0.0000,78.9642,0,400,92685,117376,0.3126,0.7678,0.195423
35,f35d900a,S3,0.0000,88.5887,0,400,103849,117226,0.3491,0.5252,0.097015
