epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
18,00d62c1b,C1,0.2500,94.0797,1,400,114098,121278,0.3667,0.7369,0.176119
18,0520fde7,C1,1.7500,80.7214,7,400,38940,48240,0.2550,0.6949,0.427564
18,0962bcdd,C1,0.0000,84.1695,0,400,137703,163602,0.4931,0.3090,0.101352
18,0a938d79,C1,0.0000,95.8427,0,400,154302,160995,0.4381,0.6173,0.170751
18,137eaa0f,C1,0.0000,21.2836,0,400,650,3054,0.0648,0.9362,0.209531
18,1b2d62fb,C1,4.2500,81.6450,17,400,44241,54187,0.2513,0.7146,0.491413
18,1c786137,C1,11.5000,51.2046,46,400,2593,5064,0.4732,0.5173,0.244892
18,1e0a9b12,C1,0.0000,90.8085,0,400,101997,112321,0.3291,0.6080,0.159697
18,1f642eb9,C1,0.0000,95.9274,0,400,123283,128517,0.4039,0.3524,0.036066
18,1f876c06,C1,0.0000,93.0922,0,400,121098,130084,0.4175,0.1308,0.021030
18,228f6490,C1,0.0000,96.8393,0,400,151660,156610,0.4942,0.6720,0.143550
18,234bbc79,C1,0.0000,87.2698,0,400,79625,91240,0.4624,0.6272,0.426699
18,23b5c85d,C1,91.2500,99.8078,365,400,10386,10406,0.1142,0.8793,0.786491
18,25d487eb,C1,0.7500,93.6094,3,400,148237,158357,0.4808,0.3735,0.081645
18,264363fd,S3,0.0000,95.1779,0,400,194633,204494,0.5689,0.7052,0.191575
18,272f95fa,S3,0.0000,96.7404,0,400,119844,123882,0.1819,0.9711,0.412265
18,27a28665,C1,0.0000,0.0000,0,400,0,0,0.0645,0.7590,0.000000
18,28e73c20,C1,0.0000,76.9824,0,400,82683,107405,0.1652,0.8108,0.258244
18,29623171,C1,0.0000,94.3777,0,400,72651,76979,0.3311,0.8214,0.234497
18,2dee498d,C1,1.7500,55.5853,7,400,19133,34421,0.2920,0.6592,0.314436
18,31aa019c,C1,0.0000,97.6768,0,400,120332,123194,0.3003,0.9267,0.267645
18,3618c87e,C1,0.0000,97.3750,0,400,107686,110589,0.3853,0.3837,0.039379
18,3631a71a,A2,0.0000,87.2332,0,400,135208,154996,0.3430,0.9754,0.357413
18,36d67576,C1,0.0000,93.3898,0,400,153276,164125,0.5049,0.2339,0.054171
18,39a8645d,C1,2.2500,49.6134,9,400,1540,3104,0.4416,0.5373,0.316620
18,3ac3eb23,C1,0.0000,91.5958,0,400,96138,104959,0.2920,0.6669,0.178376
18,3f7978a0,C1,0.0000,71.4537,0,400,16275,22777,0.3927,0.6672,0.476700
18,445eab21,C1,86.0000,95.2500,344,400,1143,1200,0.0642,0.9516,0.930526
18,447fd412,C1,0.0000,87.7420,0,400,156172,177990,0.4526,0.6174,0.232632
18,4522001f,S2,0.0000,93.4815,0,400,145059,155174,0.3175,0.9831,0.888740
18,50cb2852,C1,0.0000,95.5875,0,400,148195,155036,0.5021,0.7494,0.173680
18,5117e062,C1,12.7500,63.1087,51,400,2968,4703,0.3582,0.6379,0.454017
18,54d9e175,C1,0.0000,89.2831,0,400,90400,101251,0.1214,0.9798,0.365392
18,5ad4f10b,S3,3.0000,60.3289,12,400,3192,5291,0.4468,0.5541,0.376385
18,5bd6f4ac,C1,9.0000,52.4062,36,400,1677,3200,0.4823,0.6973,0.377649
18,5daaa586,C1,0.0000,73.6745,0,400,19078,25895,0.2249,0.8168,0.560099
18,60b61512,C1,0.0000,94.2828,0,400,154506,163875,0.5049,0.3080,0.064810
18,6150a2bd,C1,6.0000,58.0226,24,400,59700,102891,0.2025,0.6165,0.120227
18,62c24649,C1,8.2500,65.8078,33,400,69193,105144,0.1918,0.9120,0.513778
18,662c240a,C1,8.0000,33.3008,32,400,2732,8204,0.1856,0.8105,0.259167
18,67a423a3,C1,0.0000,95.5775,0,400,105962,110865,0.3830,0.5035,0.080296
18,681b3aeb,C1,0.0000,71.7839,0,400,7879,10976,0.0808,0.9267,0.636608
18,6cdd2623,S3,0.0000,85.0671,0,400,121492,142819,0.2799,0.7976,0.328537
18,6cf79266,S3,0.0000,89.9430,0,400,110405,122750,0.3138,0.7387,0.216741
18,6d0160f0,C1,0.0000,94.6463,0,400,92742,97988,0.2949,0.7505,0.179765
18,6e19193c,C1,1.5000,87.0615,6,400,98988,113699,0.3785,0.0747,0.017266
