epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
14,00d62c1b,C1,0.2500,93.7260,1,400,113669,121278,0.3600,0.7746,0.179612
14,0520fde7,C1,1.5000,80.7939,6,400,38975,48240,0.1948,0.8356,0.490317
14,0962bcdd,C1,0.0000,84.6084,0,400,138421,163602,0.4975,0.2954,0.097850
14,0a938d79,C1,0.0000,95.5955,0,400,153904,160995,0.4396,0.6042,0.159256
14,137eaa0f,C1,0.0000,21.1526,0,400,646,3054,0.0458,0.9542,0.211869
14,1b2d62fb,C1,4.2500,80.0598,17,400,43382,54187,0.1804,0.8436,0.531935
14,1c786137,C1,12.2500,51.8562,49,400,2626,5064,0.3233,0.6906,0.336278
14,1e0a9b12,C1,0.0000,90.9420,0,400,102147,112321,0.3338,0.5868,0.154969
14,1f642eb9,C1,0.0000,95.9289,0,400,123285,128517,0.4045,0.3153,0.033376
14,1f876c06,C1,0.0000,93.0445,0,400,121036,130084,0.4166,0.1419,0.020753
14,228f6490,C1,0.0000,96.4479,0,400,151047,156610,0.4976,0.5908,0.128784
14,234bbc79,C1,0.0000,87.1887,0,400,79551,91240,0.5182,0.5019,0.346261
14,23b5c85d,C1,91.5000,99.8174,366,400,10387,10406,0.1127,0.8858,0.792306
14,25d487eb,C1,0.5000,93.6637,2,400,148323,158357,0.4827,0.3603,0.078285
14,264363fd,S3,0.0000,94.8649,0,400,193993,204494,0.5681,0.7012,0.188864
14,272f95fa,S3,0.0000,96.6484,0,400,119730,123882,0.1825,0.9625,0.410656
14,27a28665,C1,0.0000,0.0000,0,16,0,0,0.0735,0.8294,0.000000
14,28e73c20,C1,0.0000,70.7546,0,400,75994,107405,0.2019,0.6882,0.207581
14,29623171,C1,0.0000,94.3166,0,400,72604,76979,0.3330,0.8067,0.232072
14,2dee498d,C1,1.7500,55.9658,7,400,19264,34421,0.3387,0.5884,0.290131
14,31aa019c,C1,0.0000,97.7539,0,400,120427,123194,0.3004,0.9265,0.268183
14,3618c87e,C1,0.0000,97.0033,0,400,107275,110589,0.3853,0.3597,0.038652
14,3631a71a,A2,0.0000,86.1493,0,400,133528,154996,0.3434,0.9620,0.349938
14,36d67576,C1,0.0000,93.3551,0,400,153219,164125,0.5041,0.2460,0.056322
14,39a8645d,C1,2.5000,50.1289,10,400,1556,3104,0.3721,0.6170,0.350235
14,3ac3eb23,C1,0.0000,90.5182,0,400,95007,104959,0.2950,0.6392,0.167037
14,3f7978a0,C1,0.0000,72.1122,0,400,16425,22777,0.4580,0.5835,0.431807
14,445eab21,C1,96.0000,98.6667,384,400,1184,1200,0.0342,0.9816,0.976094
14,447fd412,C1,0.0000,87.9988,0,400,156629,177990,0.4526,0.6266,0.235436
14,4522001f,S2,0.0000,93.6632,0,400,145341,155174,0.3207,0.9822,0.893883
14,50cb2852,C1,0.0000,95.7184,0,400,148398,155036,0.5024,0.7528,0.175019
14,5117e062,C1,14.2500,62.9811,57,400,2962,4703,0.2851,0.7180,0.485239
14,54d9e175,C1,0.0000,88.4021,0,400,89508,101251,0.1251,0.9615,0.357166
14,5ad4f10b,S3,3.2500,59.5162,13,400,3149,5291,0.3784,0.6387,0.412048
14,5bd6f4ac,C1,9.0000,53.2500,36,400,1704,3200,0.4767,0.7126,0.389409
14,5daaa586,C1,0.0000,74.7635,0,400,19360,25895,0.2647,0.7685,0.549102
14,60b61512,C1,0.0000,94.3677,0,400,154645,163875,0.5018,0.3641,0.070106
14,6150a2bd,C1,6.0000,58.9867,24,400,60692,102891,0.2071,0.6190,0.122599
14,62c24649,C1,8.0000,66.7019,32,400,70133,105144,0.1982,0.9080,0.518352
14,662c240a,C1,5.2500,33.0327,21,400,2710,8204,0.1820,0.8142,0.261447
14,67a423a3,C1,0.0000,95.2311,0,400,105578,110865,0.3858,0.4089,0.072171
14,681b3aeb,C1,0.5000,72.5948,2,400,7968,10976,0.1039,0.9037,0.638019
14,6cdd2623,S3,0.0000,84.9264,0,400,121291,142819,0.2807,0.7906,0.326032
14,6cf79266,S3,0.0000,89.7988,0,400,110228,122750,0.3024,0.7827,0.222959
14,6d0160f0,C1,0.0000,94.1615,0,400,92267,97988,0.2953,0.7251,0.175634
14,6e19193c,C1,0.7500,86.8213,3,400,98715,113699,0.3778,0.0780,0.016119
14,6ecd11f4,S3,0.2500,25.1532,1,400,1560,6202,0.3974,0.6027,0.152533
14,7447852a,C1,0.0000,83.3173,0,400,30370,36451,0.3526,0.4828,0.186816
14,7c008303,C1,0.0000,69.5465,0,400,59988,86256,0.1864,0.7840,0.370490
14,8731374e,S3,0.0000,82.9887,0,400,43745,52712,0.1555,0.8680,0.666423
14,8efcae92,S3,0.0000,71.3749,0,400,33078,46344,0.2154,0.8123,0.551768
14,90c28cc7,S3,0.5000,22.1452,2,400,3033,13696,0.0965,0.9000,0.200845
14,913fb3ed,C1,0.7500,78.6579,3,400,72886,92662,0.2350,0.5717,0.133161
14,91714a58,S3,0.5000,98.4629,2,400,131832,133890,0.3358,0.9336,0.257304
14,928ad970,C1,0.0000,92.1967,0,400,142526,154589,0.4771,0.4644,0.116398
14,941d9a10,C1,0.0000,97.2964,0,400,121457,124832,0.3977,0.5076,0.084820
14,9565186b,C1,1.0000,98.2508,4,400,98856,100616,0.2241,0.9094,0.282001
14,95990924,C1,0.7500,93.0956,3,400,117252,125948,0.4107,0.2853,0.065315
14,963e52fc,C1,0.0000,88.0946,0,400,115233,130806,0.2671,0.9397,0.642863
14,9af7a82c,C1,0.0000,82.0350,0,400,35056,42733,0.0742,0.9522,0.486960
14,9edfc990,C1,0.2500,91.6826,1,400,111244,121336,0.3412,0.5031,0.136814
14,a2fd1cf0,S3,0.0000,97.7740,0,400,111963,114512,0.3914,0.3053,0.032539
14,a61f2674,C1,0.0000,94.3229,0,400,123529,130964,0.3902,0.9735,0.250736
14,a8d7556c,S3,0.2500,88.6750,1,400,113269,127735,0.3157,0.7576,0.212121
14,ac0a08a4,S2,2.5000,91.1423,10,400,75876,83250,0.2724,0.8946,0.738524
14,b1948b0a,C1,1.0000,97.8124,4,400,99129,101346,0.2736,0.7617,0.234271
14,b548a754,C1,0.0000,95.4750,0,400,114739,120177,0.3442,0.7155,0.165247
14,b6afb2da,C1,0.0000,92.4514,0,400,147326,159355,0.4017,0.9878,0.343920
14,b782dc8a,S3,0.0000,95.1460,0,400,111180,116852,0.3885,0.4451,0.068126
14,bbc9ae5d,C1,0.2500,90.9703,1,400,64729,71154,0.3716,0.8976,0.767314
14,bc1d5164,C1,0.2500,81.7547,1,400,22373,27366,0.3317,0.7258,0.590027
14,bdad9b1f,C1,0.0000,85.5337,0,400,98575,115247,0.3110,0.6361,0.199140
14,c909285e,S3,0.0000,76.4324,0,400,8124,10629,0.1590,0.8617,0.664995
14,c9e6f938,C1,8.2500,61.6660,33,400,59319,96194,0.1874,0.8755,0.322811
14,cce03e0d,S2,0.0000,80.2832,0,400,53129,66177,0.2357,0.9302,0.706124
14,ce9e57f2,C1,0.0000,97.2279,0,400,125951,129542,0.4037,0.7058,0.120454
14,cf98881b,C1,0.0000,56.4628,0,400,19867,35186,0.1963,0.7811,0.391446
14,d037b0a7,C1,0.0000,91.7461,0,400,103774,113110,0.3370,0.5518,0.173981
14,d4469b4b,C1,0.0000,37.7188,0,400,1207,3200,0.0652,0.9332,0.345558
14,d90796e8,C1,0.0000,96.3220,0,400,104021,107993,0.3925,0.0975,0.007502
14,db3e9e38,C1,0.0000,93.0906,0,400,95699,102802,0.2484,0.6842,0.187411
14,ddf7fa4f,C1,0.0000,98.1246,0,400,150842,153725,0.4070,0.9497,0.260517
14,e40b9e2f,C1,0.0000,92.4996,0,400,117715,127260,0.4157,0.1949,0.032223
14,e48d4e1a,C1,0.0000,92.5483,0,400,100563,108660,0.2967,0.7152,0.180462
14,e50d258f,C1,2.5000,48.1081,10,400,5696,11840,0.0925,0.9222,0.453288
14,e98196ab,C1,0.2500,77.8312,1,400,42116,54112,0.4315,0.5573,0.385800
14,e9afcf9a,C1,8.5000,88.6652,34,400,93313,105242,0.2288,0.8310,0.220975
14,eb281b96,S2,0.0000,85.4297,0,400,107796,126181,0.1749,0.9951,0.760838
14,ec883f72,C1,0.0000,97.6272,0,400,123021,126011,0.4333,0.0030,0.000112
14,f1cefba8,S3,0.0000,90.3615,0,400,125542,138933,0.3387,0.6936,0.231505
14,f25ffba3,C1,0.0000,78.5808,0,400,92235,117376,0.3126,0.7598,0.192027
14,f35d900a,S3,0.0000,88.2415,0,400,103442,117226,0.3522,0.4834,0.089734
