epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
9,00d62c1b,C1,0.0000,54.9828,0,400,66682,121278,0.2570,0.5852,0.058983
9,0520fde7,C1,4.0000,74.0589,16,400,35726,48240,0.2655,0.6784,0.380146
9,0962bcdd,C1,0.0000,67.6446,0,400,110668,163602,0.4265,0.2309,0.046901
9,0a938d79,C1,0.0000,89.6189,0,400,144282,160995,0.4626,0.1790,0.046530
9,137eaa0f,C1,0.0000,21.7092,0,400,663,3054,0.0113,0.9899,0.217860
9,1b2d62fb,C1,4.5000,75.9389,18,400,41149,54187,0.2144,0.7443,0.464352
9,1c786137,C1,15.2500,51.4613,61,400,2606,5064,0.4052,0.5946,0.247990
9,1e0a9b12,C1,0.0000,73.6844,0,400,82763,112321,0.2912,0.5046,0.081139
9,1f642eb9,C1,0.0000,83.8706,0,400,107788,128517,0.3495,0.9576,0.045361
9,1f876c06,C1,0.0000,83.1739,0,400,108196,130084,0.3822,0.0915,0.007251
9,228f6490,C1,0.0000,82.5152,0,400,129227,156610,0.4167,0.9496,0.105327
9,234bbc79,C1,0.0000,88.0579,0,400,80344,91240,0.5486,0.4281,0.291363
9,23b5c85d,C1,96.2500,100.0000,385,400,10406,10406,0.1036,0.8892,0.807203
9,25d487eb,C1,0.0000,77.1384,0,400,122154,158357,0.3962,0.4372,0.054747
9,264363fd,S3,0.0000,85.1487,0,400,174124,204494,0.5153,0.7238,0.144080
9,272f95fa,S3,0.0000,42.7269,0,400,52931,123882,0.1183,0.7969,0.139475
9,27a28665,C1,0.0000,0.0000,0,16,0,0,0.1434,0.6864,0.000000
9,28e73c20,C1,0.0000,52.3747,0,400,56253,107405,0.0251,0.9562,0.178441
9,29623171,C1,0.0000,55.9308,0,400,43055,76979,0.2240,0.6022,0.078087
9,2dee498d,C1,0.2500,50.3414,1,400,17328,34421,0.3212,0.6183,0.248451
9,31aa019c,C1,0.0000,97.5746,0,400,120206,123194,0.3026,0.9073,0.264619
9,3618c87e,C1,0.0000,81.0686,0,400,89653,110589,0.3159,0.8404,0.032793
9,3631a71a,A2,0.0000,54.3130,0,400,84183,154996,0.1844,1.0000,0.193100
9,36d67576,C1,0.0000,77.0986,0,400,126538,164125,0.4383,0.0642,0.005468
9,39a8645d,C1,3.0000,49.2912,12,400,1530,3104,0.3944,0.5902,0.340440
9,3ac3eb23,C1,0.0000,73.9050,0,400,77570,104959,0.3568,0.0249,0.003444
9,3f7978a0,C1,0.0000,64.1393,0,400,14609,22777,0.5403,0.4672,0.300431
9,445eab21,C1,100.0000,100.0000,400,400,1200,1200,0.0175,0.9984,0.999018
9,447fd412,C1,0.0000,67.2184,0,400,119642,177990,0.4818,0.0703,0.018131
9,4522001f,S2,0.0000,78.1697,0,400,121299,155174,0.3436,0.9458,0.719270
9,50cb2852,C1,0.0000,73.5603,0,400,114045,155036,0.4061,0.9961,0.124579
9,5117e062,C1,15.7500,67.5314,63,400,3176,4703,0.2002,0.8005,0.558563
9,54d9e175,C1,0.0000,26.0639,0,400,26390,101251,0.0487,0.9987,0.100725
9,5ad4f10b,S3,3.5000,62.5024,14,400,3307,5291,0.3975,0.6110,0.416382
9,5bd6f4ac,C1,11.0000,48.8750,44,400,1564,3200,0.4485,0.7100,0.357514
9,5daaa586,C1,0.0000,54.4082,0,400,14089,25895,0.2456,0.7722,0.390130
9,60b61512,C1,0.0000,75.2494,0,400,123315,163875,0.4266,0.0128,0.000772
9,6150a2bd,C1,5.7500,56.7601,23,400,58401,102891,0.1987,0.6506,0.118536
9,62c24649,C1,8.0000,52.9664,32,400,55691,105144,0.1982,0.8842,0.394792
9,662c240a,C1,0.0000,23.1716,0,400,1901,8204,0.1696,0.8203,0.182332
9,67a423a3,C1,0.0000,78.8472,0,400,87414,110865,0.3262,0.5683,0.043278
9,681b3aeb,C1,0.0000,75.2369,0,400,8258,10976,0.0691,0.9390,0.679440
9,6cdd2623,S3,0.0000,62.1927,0,400,88823,142819,0.2723,0.5897,0.177337
9,6cf79266,S3,0.0000,34.6314,0,400,42510,122750,0.1080,0.6078,0.056584
9,6d0160f0,C1,0.0000,68.3829,0,400,67007,97988,0.1927,0.8789,0.104748
9,6e19193c,C1,0.0000,74.2636,0,400,84437,113699,0.3351,0.0400,0.001739
9,6ecd11f4,S3,0.0000,24.5566,0,400,1523,6202,0.3127,0.6902,0.158283
9,7447852a,C1,0.0000,28.9731,0,400,10561,36451,0.1602,0.6628,0.043254
9,7c008303,C1,0.5000,68.3651,2,400,58969,86256,0.1982,0.7459,0.345310
9,8731374e,S3,0.0000,75.4003,0,400,39745,52712,0.1562,0.8554,0.598715
9,8efcae92,S3,0.0000,70.8938,0,400,32855,46344,0.2775,0.7282,0.501252
9,90c28cc7,S3,0.0000,21.4150,0,400,2933,13696,0.0873,0.9091,0.184080
9,913fb3ed,C1,0.0000,61.3585,0,400,56856,92662,0.2797,0.1799,0.024688
9,91714a58,S3,0.0000,95.2999,0,400,127597,133890,0.3189,0.9983,0.244890
9,928ad970,C1,0.0000,83.9892,0,400,129838,154589,0.4660,0.2083,0.038242
9,941d9a10,C1,0.0000,48.2785,0,400,60267,124832,0.2121,0.4759,0.010690
9,9565186b,C1,0.0000,68.0091,0,400,68428,100616,0.1750,1.0000,0.177761
9,95990924,C1,0.7500,81.6281,3,400,102809,125948,0.3886,0.0087,0.000123
9,963e52fc,C1,0.0000,75.2779,0,400,98468,130806,0.3258,0.8257,0.504950
9,9af7a82c,C1,0.0000,23.7709,0,400,10158,42733,0.0717,0.8008,0.129954
9,9edfc990,C1,0.0000,25.9849,0,400,31529,121336,0.0554,0.9778,0.043506
9,a2fd1cf0,S3,0.0000,95.8223,0,400,109728,114512,0.3835,0.3896,0.029697
9,a61f2674,C1,0.0000,95.1842,0,400,124657,130964,0.3880,1.0000,0.257248
9,a8d7556c,S3,0.0000,60.0540,0,400,76710,127735,0.2053,0.9645,0.142307
9,ac0a08a4,S2,0.0000,77.5892,0,400,64593,83250,0.2943,0.8617,0.641760
9,b1948b0a,C1,0.0000,24.5002,0,400,24830,101346,0.0306,1.0000,0.050156
9,b548a754,C1,0.0000,84.7783,0,400,101884,120177,0.3146,0.6908,0.120551
9,b6afb2da,C1,0.0000,77.3048,0,400,123189,159355,0.3993,1.0000,0.283601
9,b782dc8a,S3,0.0000,49.8999,0,400,58309,116852,0.2050,0.9902,0.034931
9,bbc9ae5d,C1,0.0000,66.0652,0,400,47008,71154,0.3173,0.8972,0.532706
9,bc1d5164,C1,0.7500,81.6524,3,400,22345,27366,0.3975,0.6406,0.544044
9,bdad9b1f,C1,0.0000,58.2740,0,400,67159,115247,0.2420,0.5979,0.108060
9,c909285e,S3,0.0000,64.7003,0,400,6877,10629,0.1422,0.8609,0.606486
9,c9e6f938,C1,8.2500,60.7148,33,400,58404,96194,0.1956,0.8490,0.313776
9,cce03e0d,S2,0.0000,68.5042,0,400,45334,66177,0.2549,0.9088,0.609228
9,ce9e57f2,C1,0.0000,82.9661,0,400,107476,129542,0.3501,0.9354,0.095194
9,cf98881b,C1,0.0000,59.0604,0,400,20781,35186,0.1913,0.7980,0.410991
9,d037b0a7,C1,0.0000,70.0062,0,400,79184,113110,0.3670,0.1332,0.020928
9,d4469b4b,C1,0.0000,34.9688,0,400,1119,3200,0.0772,0.9348,0.319578
9,d90796e8,C1,0.0000,83.0822,0,400,89723,107993,0.3223,0.9902,0.041097
9,db3e9e38,C1,0.0000,85.4079,0,400,87801,102802,0.2400,0.7321,0.163860
9,ddf7fa4f,C1,0.0000,82.8115,0,400,127302,153725,0.3992,1.0000,0.220067
9,e40b9e2f,C1,0.0000,84.1757,0,400,107122,127260,0.3722,0.4170,0.040329
9,e48d4e1a,C1,0.0000,88.6702,0,400,96349,108660,0.3092,0.5537,0.138754
9,e50d258f,C1,2.5000,50.1098,10,400,5933,11840,0.0636,0.9514,0.476359
9,e98196ab,C1,0.0000,70.2746,0,400,38027,54112,0.4967,0.4155,0.253198
9,e9afcf9a,C1,8.2500,37.9202,33,400,39908,105242,0.1910,0.4127,0.033075
9,eb281b96,S2,0.0000,46.9429,0,400,59233,126181,0.3815,0.7077,0.338706
9,ec883f72,C1,0.0000,81.8579,0,400,103150,126011,0.3643,0.0115,0.000128
9,f1cefba8,S3,0.0000,46.5958,0,400,64737,138933,0.2262,0.6317,0.076017
9,f25ffba3,C1,0.0000,59.2745,0,400,69574,117376,0.2223,0.9033,0.128592
9,f35d900a,S3,0.0000,85.5825,0,400,100325,117226,0.3574,0.3447,0.046821
