epoch,val_total_grids,val_total_cells,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_quality
0,64,19394,0.00000000,0.12287305,0.05709975,0.92264564,0.01270280
0,36416,8472261,0.02526362,0.73794315,0.28799393,0.69286450,0.23909939
1,36416,8472261,0.02831173,0.84451766,0.32097024,0.63758682,0.26234767
2,36416,8472261,0.03061841,0.87177107,0.31977476,0.62562526,0.27489576
3,36416,8472261,0.03081063,0.88086533,0.31892466,0.64019343,0.28128450
4,36416,8472261,0.03204635,0.88588064,0.32288273,0.64628056,0.28473010
5,36416,8472261,0.03251318,0.88754808,0.32517492,0.64665015,0.28492597
6,36416,8472261,0.03171683,0.88273414,0.32455884,0.64515360,0.28204613
7,36416,8472261,0.03144222,0.88682218,0.32060110,0.65252237,0.28713309
8,36416,8472261,0.03037127,0.88885316,0.31475463,0.67113965,0.29236369
9,36416,8472261,0.03207381,0.89141919,0.32594658,0.65094887,0.28699127
10,36416,8472261,0.03050857,0.89335975,0.32820269,0.65669771,0.28775622
11,36416,8472261,0.03210127,0.89438239,0.32889186,0.65789617,0.28895322
12,36416,8472261,0.03001428,0.88934028,0.31711359,0.66796407,0.28998553
13,36416,8472261,0.03138730,0.89156885,0.32305935,0.66361865,0.29064073
14,36416,8472261,0.03237588,0.89402286,0.32173809,0.67219151,0.29173442
15,36416,8472261,0.03204635,0.89652868,0.31768119,0.67937398,0.29638499
16,36416,8472261,0.03248572,0.89810937,0.32246939,0.67378765,0.29490225
17,36416,8472261,0.03243080,0.89900712,0.32289340,0.67647884,0.29577599
18,36416,8472261,0.02979460,0.89508834,0.31454324,0.68056804,0.29501763
19,36416,8472261,0.03218366,0.89639849,0.32332625,0.66916536,0.29309547
20,36416,8472261,0.03127746,0.89742195,0.31884504,0.68204740,0.29602792
21,36416,8472261,0.03127746,0.89871570,0.33182875,0.66446789,0.29041173
22,36416,8472261,0.03215620,0.90022227,0.32422547,0.67566151,0.29603670
23,36416,8472261,0.03245826,0.90058887,0.32555429,0.67674229,0.29583325
24,36416,8472261,0.03207381,0.89667079,0.32502170,0.67164688,0.29131730
25,36416,8472261,0.03182667,0.89726662,0.31384837,0.69526990,0.30116258
26,36416,8472261,0.03265048,0.89897231,0.32307578,0.67805913,0.29634019
27,36416,8472261,0.03204635,0.89986026,0.32175984,0.68147772,0.29774026
28,36416,8472261,0.03141476,0.90067067,0.32091897,0.68574892,0.29884020
29,36416,8472261,0.03243080,0.90181440,0.32182340,0.68562870,0.29997673
0,64,19394,0.00000000,0.18031350,0.07964134,0.88897244,0.01909416
0,36416,8472261,0.02600505,0.74200748,0.29707455,0.67557399,0.23758412
1,36416,8472261,0.02976714,0.85579328,0.30456571,0.66931929,0.27750265
2,36416,8472261,0.03133238,0.87445087,0.32106736,0.62276190,0.27516090
3,36416,8472261,0.03179921,0.88262602,0.32022988,0.64596673,0.28363792
4,36416,8472261,0.03190905,0.88685995,0.31735637,0.65646383,0.28912158
5,36416,8472261,0.03226604,0.88872593,0.31457375,0.66557275,0.29355665
6,36416,8472261,0.03059095,0.88404016,0.31536735,0.65727480,0.28681877
7,36416,8472261,0.02850395,0.88509100,0.32391817,0.64665030,0.28148409
8,36416,8472261,0.03100286,0.88852279,0.31433538,0.66475175,0.29175802
9,36416,8472261,0.03149714,0.88984393,0.31752740,0.66770458,0.29201030
10,36416,8472261,0.03199143,0.89256693,0.31163291,0.68282991,0.29947631
11,36416,8472261,0.03210127,0.89431239,0.31775408,0.67380346,0.29691753
12,36416,8472261,0.03061841,0.88926392,0.32452783,0.64703367,0.28615266
13,36416,8472261,0.03089301,0.89016415,0.30976769,0.67988667,0.29645123
14,36416,8472261,0.03133238,0.89268485,0.31234342,0.68295110,0.29782948
15,36416,8472261,0.03226604,0.89334736,0.31518448,0.68023745,0.29659888
16,36416,8472261,0.03188159,0.89506697,0.31652488,0.66882378,0.29700115
17,36416,8472261,0.03245826,0.89644181,0.31213024,0.68611851,0.30170457
18,36416,8472261,0.03160699,0.89150440,0.31573290,0.67495412,0.29461328
19,36416,8472261,0.03218366,0.89347011,0.31134495,0.68360109,0.29865020
20,36416,8472261,0.03053603,0.89459166,0.31741566,0.66901924,0.29417491
21,36416,8472261,0.03215620,0.89532936,0.31464374,0.68376296,0.29874098
22,36416,8472261,0.03204635,0.89663751,0.31441387,0.68291917,0.30060605
23,36416,8472261,0.03232096,0.89811964,0.31586942,0.68448855,0.30123594
24,36416,8472261,0.03229350,0.89340366,0.32485773,0.65997533,0.28977657
25,36416,8472261,0.03210127,0.89331219,0.31260041,0.67855954,0.29771579
26,36416,8472261,0.03218366,0.89559174,0.31872325,0.68025761,0.29590214
27,36416,8472261,0.03210127,0.89771385,0.31907200,0.67987863,0.29801079
28,36416,8472261,0.03232096,0.89813581,0.32128488,0.67985761,0.29705441
29,36416,8472261,0.03226604,0.89882394,0.31752761,0.68728215,0.30126234
