epoch,val_total_grids,val_total_cells,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_quality
0,64,19394,0.00000000,0.07115603,0.06496118,0.93243411,0.00860694
0,64,19394,0.00000000,0.14179643,0.09848135,0.95777823,0.01830807
0,36416,8472261,0.03166191,0.69874582,0.28170992,0.67626094,0.22283891
1,36416,8472261,0.03166191,0.69714472,0.28001060,0.66883437,0.22461861
2,36416,8472261,0.03166191,0.69855804,0.28176667,0.66628333,0.22288880
3,36416,8472261,0.03166191,0.70101582,0.28176040,0.66526012,0.22216480
4,36416,8472261,0.03166191,0.70046237,0.28237522,0.65537463,0.22134175
5,36416,8472261,0.03166191,0.70106386,0.28344634,0.65343763,0.22103466
6,36416,8472261,0.03166191,0.70250869,0.27536805,0.69778866,0.22975506
7,36416,8472261,0.03168937,0.69726971,0.27711747,0.68812362,0.22800839
8,36416,8472261,0.03166191,0.69680042,0.28091345,0.67902339,0.22362053
9,36416,8472261,0.03166191,0.69455013,0.27840427,0.67403994,0.22310843
10,36416,8472261,0.03166191,0.68679600,0.27846121,0.66658343,0.22081767
11,36416,8472261,0.03166191,0.68951488,0.27838414,0.67216105,0.22226873
12,36416,8472261,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
13,36416,8472261,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
14,36416,8472261,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
15,36416,8472261,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
