epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
31,00d62c1b,C1,0.2500,94.0748,1,400,114092,121278,0.3663,0.7387,0.176138
31,0520fde7,C1,1.7500,80.6675,7,400,38914,48240,0.2414,0.7350,0.440641
31,0962bcdd,C1,0.0000,84.8627,0,400,138837,163602,0.4776,0.4415,0.137965
31,0a938d79,C1,0.0000,95.9632,0,400,154496,160995,0.4370,0.6523,0.166950
31,137eaa0f,C1,0.0000,22.2659,0,400,680,3054,0.0598,0.9382,0.216999
31,1b2d62fb,C1,4.2500,81.4162,17,400,44117,54187,0.2474,0.7305,0.497188
31,1c786137,C1,11.0000,52.5869,44,400,2663,5064,0.4151,0.5801,0.267409
31,1e0a9b12,C1,0.2500,91.4370,1,400,102703,112321,0.3303,0.6193,0.163208
31,1f642eb9,C1,0.0000,95.9998,0,400,123376,128517,0.4043,0.3237,0.034080
31,1f876c06,C1,0.0000,93.0022,0,400,120981,130084,0.4142,0.1803,0.026062
31,228f6490,C1,0.0000,96.9466,0,400,151828,156610,0.4926,0.7023,0.149606
31,234bbc79,C1,0.0000,87.3060,0,400,79658,91240,0.5777,0.3491,0.244979
31,23b5c85d,C1,93.2500,99.8847,373,400,10394,10406,0.2337,0.7434,0.708441
31,25d487eb,C1,0.7500,93.7931,3,400,148528,158357,0.4791,0.3969,0.085654
31,264363fd,S3,0.0000,95.4854,0,400,195262,204494,0.5693,0.7181,0.196245
31,272f95fa,S3,0.0000,96.9334,0,400,120083,123882,0.1827,0.9659,0.412399
31,27a28665,C1,0.0000,0.0000,0,16,0,0,0.1529,0.6589,0.000000
31,28e73c20,C1,0.0000,75.9248,0,400,81547,107405,0.1854,0.7651,0.244369
31,29623171,C1,0.0000,94.8869,0,400,73043,76979,0.3300,0.8412,0.239948
31,2dee498d,C1,1.7500,56.4074,7,400,19416,34421,0.3377,0.5989,0.293403
31,31aa019c,C1,0.0000,97.6241,0,400,120267,123194,0.2995,0.9302,0.268107
31,3618c87e,C1,0.0000,97.3252,0,400,107631,110589,0.3843,0.4122,0.044372
