epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
27,00d62c1b,C1,0.2500,94.4582,1,400,114557,121278,0.3650,0.7600,0.181673
27,0520fde7,C1,1.7500,80.1306,7,400,38655,48240,0.2641,0.6859,0.419954
27,0962bcdd,C1,0.0000,84.1328,0,400,137643,163602,0.4860,0.3506,0.111650
27,0a938d79,C1,0.0000,96.5949,0,400,155513,160995,0.4326,0.7053,0.193729
27,137eaa0f,C1,0.0000,19.7119,0,400,602,3054,0.1415,0.8587,0.190011
27,1b2d62fb,C1,4.2500,81.0619,17,400,43925,54187,0.2500,0.7125,0.485167
27,1c786137,C1,12.0000,52.5869,48,400,2663,5064,0.4739,0.5177,0.248583
27,1e0a9b12,C1,0.0000,91.6845,0,400,102981,112321,0.3303,0.6235,0.165489
27,1f642eb9,C1,0.0000,96.0239,0,400,123407,128517,0.4040,0.3530,0.037669
27,1f876c06,C1,0.0000,93.0191,0,400,121003,130084,0.4126,0.1987,0.032815
27,228f6490,C1,0.0000,97.0353,0,400,151967,156610,0.4936,0.6929,0.148001
27,234bbc79,C1,0.0000,87.2370,0,400,79595,91240,0.5078,0.5046,0.357020
27,23b5c85d,C1,88.2500,99.6925,353,400,10374,10406,0.1602,0.8254,0.748296
27,25d487eb,C1,0.7500,93.8190,3,400,148569,158357,0.4787,0.4005,0.089007
27,264363fd,S3,0.0000,95.4160,0,400,195120,204494,0.5688,0.7196,0.196524
27,272f95fa,S3,0.0000,96.8389,0,400,119966,123882,0.1833,0.9616,0.411461
27,27a28665,C1,0.0000,0.0000,0,400,0,0,0.1509,0.6634,0.000000
27,28e73c20,C1,0.0000,77.4582,0,400,83194,107405,0.1568,0.8387,0.264860
27,29623171,C1,0.0000,94.9376,0,400,73082,76979,0.3302,0.8367,0.240158
27,2dee498d,C1,1.5000,56.8955,6,400,19584,34421,0.3206,0.6196,0.304761
27,31aa019c,C1,0.0000,97.5388,0,400,120162,123194,0.3004,0.9208,0.266520
27,3618c87e,C1,0.0000,97.3849,0,400,107697,110589,0.3850,0.3910,0.042328
27,3631a71a,A2,0.0000,87.6003,0,400,135777,154996,0.3429,0.9771,0.359353
27,36d67576,C1,0.0000,93.3758,0,400,153253,164125,0.5045,0.2420,0.055624
27,39a8645d,C1,2.5000,49.9356,10,400,1550,3104,0.4866,0.4943,0.301655
27,3ac3eb23,C1,0.0000,92.7953,0,400,97397,104959,0.2872,0.7372,0.191177
27,3f7978a0,C1,0.0000,72.4020,0,400,16491,22777,0.4619,0.5841,0.436933
27,445eab21,C1,88.2500,96.0833,353,400,1153,1200,0.0611,0.9547,0.939225
27,447fd412,C1,0.0000,88.0409,0,400,156704,177990,0.4554,0.6194,0.234115
27,4522001f,S2,0.0000,93.5292,0,400,145133,155174,0.3203,0.9824,0.892257
27,50cb2852,C1,0.0000,96.0583,0,400,148925,155036,0.4997,0.8092,0.185666
27,5117e062,C1,13.0000,62.5346,52,400,2941,4703,0.3796,0.6161,0.435757
27,54d9e175,C1,0.0000,90.2105,0,400,91339,101251,0.1229,0.9727,0.367746
27,5ad4f10b,S3,3.0000,60.4990,12,400,3201,5291,0.4975,0.5034,0.349157
27,5bd6f4ac,C1,9.0000,53.8438,36,400,1723,3200,0.4964,0.6902,0.389165
27,5daaa586,C1,0.0000,74.1958,0,400,19213,25895,0.2677,0.7652,0.538465
27,60b61512,C1,0.0000,94.5013,0,400,154864,163875,0.5017,0.3673,0.074241
27,6150a2bd,C1,5.7500,59.1840,23,400,60895,102891,0.2050,0.6191,0.123921
27,62c24649,C1,8.0000,67.2240,32,400,70682,105144,0.1951,0.9094,0.523462
27,662c240a,C1,4.5000,32.8133,18,400,2692,8204,0.1708,0.8250,0.260293
27,67a423a3,C1,0.0000,95.5234,0,400,105902,110865,0.3820,0.5135,0.081691
27,681b3aeb,C1,0.0000,71.8203,0,400,7883,10976,0.0957,0.9116,0.629360
27,6cdd2623,S3,0.0000,86.5844,0,400,123659,142819,0.2797,0.8091,0.340190
27,6cf79266,S3,0.0000,90.0644,0,400,110554,122750,0.3115,0.7434,0.218736
27,6d0160f0,C1,0.0000,94.9341,0,400,93024,97988,0.2957,0.7614,0.180929
27,6e19193c,C1,1.0000,86.6639,4,400,98536,113699,0.3740,0.0974,0.023711
27,6ecd11f4,S3,0.0000,26.0239,0,400,1614,6202,0.4809,0.5224,0.146829
27,7447852a,C1,0.0000,86.0443,0,400,31364,36451,0.3423,0.5799,0.213185
27,7c008303,C1,0.0000,69.0364,0,400,59548,86256,0.2085,0.7308,0.349151
27,8731374e,S3,0.0000,83.4307,0,400,43978,52712,0.1695,0.8484,0.658965
27,8efcae92,S3,0.0000,71.2606,0,400,33025,46344,0.2428,0.7706,0.528687
27,90c28cc7,S3,0.5000,22.3496,2,400,3061,13696,0.2599,0.7298,0.175353
27,913fb3ed,C1,0.5000,78.9968,2,400,73200,92662,0.2415,0.5451,0.132323
27,91714a58,S3,0.0000,98.8177,0,400,132307,133890,0.3383,0.9309,0.258846
27,928ad970,C1,0.0000,92.3500,0,400,142763,154589,0.4719,0.5074,0.126939
27,941d9a10,C1,0.0000,97.4726,0,400,121677,124832,0.3968,0.5413,0.088809
27,9565186b,C1,2.0000,98.6374,8,400,99245,100616,0.2230,0.9210,0.286913
27,95990924,C1,0.7500,92.8208,3,400,116906,125948,0.4067,0.3177,0.069309
27,963e52fc,C1,0.0000,89.0724,0,400,116512,130806,0.2658,0.9447,0.652557
27,9af7a82c,C1,0.0000,81.8431,0,400,34974,42733,0.0741,0.9547,0.486432
27,9edfc990,C1,0.7500,91.9274,3,400,111541,121336,0.3417,0.4916,0.137288
27,a2fd1cf0,S3,0.0000,97.8020,0,400,111995,114512,0.3916,0.2791,0.032221
27,a61f2674,C1,0.0000,97.5215,0,400,127718,130964,0.3908,0.9723,0.260757
27,a8d7556c,S3,0.2500,88.9106,1,400,113570,127735,0.3252,0.7200,0.208215
27,ac0a08a4,S2,2.5000,91.0763,10,400,75821,83250,0.2711,0.8912,0.739295
