epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
8,00d62c1b,C1,0.0000,93.7087,0,400,113648,121278,0.3680,0.7215,0.170265
8,0520fde7,C1,1.5000,81.5609,6,400,39345,48240,0.2090,0.8117,0.485512
8,0962bcdd,C1,0.0000,84.3773,0,400,138043,163602,0.4999,0.2732,0.091321
8,0a938d79,C1,0.0000,95.2781,0,400,153393,160995,0.4415,0.5632,0.152733
8,137eaa0f,C1,0.0000,21.0216,0,400,642,3054,0.0370,0.9624,0.208666
8,1b2d62fb,C1,4.5000,79.5135,18,400,43086,54187,0.1941,0.8246,0.521930
8,1c786137,C1,12.0000,52.3697,48,400,2652,5064,0.3333,0.6802,0.336768
8,1e0a9b12,C1,0.0000,90.6215,0,400,101787,112321,0.3347,0.5642,0.150373
8,1f642eb9,C1,0.0000,96.0122,0,400,123392,128517,0.4057,0.2786,0.030159
8,1f876c06,C1,0.0000,93.1390,0,400,121159,130084,0.4185,0.1216,0.018633
8,228f6490,C1,0.0000,95.9722,0,400,150302,156610,0.5025,0.4863,0.110108
8,234bbc79,C1,0.0000,87.0791,0,400,79451,91240,0.5389,0.4500,0.309726
8,23b5c85d,C1,91.2500,99.8078,365,400,10386,10406,0.1073,0.8865,0.796550
8,25d487eb,C1,0.5000,93.6447,2,400,148293,158357,0.4842,0.3473,0.074044
8,264363fd,S3,0.0000,94.5338,0,400,193316,204494,0.5738,0.6315,0.172274
8,272f95fa,S3,0.0000,96.3619,0,400,119375,123882,0.1873,0.9370,0.405314
8,27a28665,C1,0.0000,0.0000,0,16,0,0,0.1696,0.6959,0.000000
8,28e73c20,C1,0.0000,68.0210,0,400,73058,107405,0.2224,0.6162,0.183834
8,29623171,C1,0.0000,93.6242,0,400,72071,76979,0.3356,0.7739,0.223289
8,2dee498d,C1,1.5000,55.1960,6,400,18999,34421,0.3325,0.6076,0.289008
8,31aa019c,C1,0.0000,97.6557,0,400,120306,123194,0.3015,0.9133,0.266135
8,3618c87e,C1,0.0000,96.8713,0,400,107129,110589,0.3865,0.2815,0.032793
8,3631a71a,A2,0.0000,85.6525,0,400,132758,154996,0.3443,0.9494,0.345312
8,36d67576,C1,0.0000,93.4641,0,400,153398,164125,0.5059,0.2233,0.053451
8,39a8645d,C1,2.5000,50.9665,10,400,1582,3104,0.3972,0.5936,0.344050
8,3ac3eb23,C1,0.0000,89.4292,0,400,93864,104959,0.2984,0.5930,0.158474
8,3f7978a0,C1,0.0000,71.4273,0,400,16269,22777,0.4515,0.5937,0.428913
8,445eab21,C1,93.7500,97.9167,375,400,1175,1200,0.0419,0.9731,0.965158
8,447fd412,C1,0.0000,87.9151,0,400,156480,177990,0.4579,0.6079,0.229595
8,4522001f,S2,0.0000,93.4983,0,400,145085,155174,0.3219,0.9814,0.891648
8,50cb2852,C1,0.0000,95.6146,0,400,148237,155036,0.5064,0.7128,0.166752
8,5117e062,C1,14.7500,63.6190,59,400,2992,4703,0.2705,0.7339,0.498748
8,54d9e175,C1,0.0000,87.1537,0,400,88244,101251,0.1226,0.9701,0.353899
8,5ad4f10b,S3,2.7500,60.0076,11,400,3175,5291,0.3926,0.6220,0.398030
8,5bd6f4ac,C1,8.7500,52.2188,35,400,1671,3200,0.4786,0.7027,0.378135
8,5daaa586,C1,0.0000,73.2999,0,400,18981,25895,0.2552,0.7809,0.541242
8,60b61512,C1,0.0000,94.1223,0,400,154243,163875,0.5016,0.3320,0.068456
8,6150a2bd,C1,6.0000,58.0595,24,400,59738,102891,0.2068,0.6134,0.119216
8,62c24649,C1,8.0000,65.1183,32,400,68468,105144,0.1959,0.9068,0.505992
8,662c240a,C1,6.2500,32.4842,25,400,2665,8204,0.1750,0.8217,0.259733
8,67a423a3,C1,0.0000,95.4539,0,400,105825,110865,0.3863,0.4172,0.072715
8,681b3aeb,C1,0.0000,71.6199,0,400,7861,10976,0.1056,0.9019,0.629298
8,6cdd2623,S3,0.0000,83.7578,0,400,119622,142819,0.2858,0.7704,0.315502
8,6cf79266,S3,0.0000,88.8741,0,400,109093,122750,0.2932,0.8062,0.222884
8,6d0160f0,C1,0.0000,93.7380,0,400,91852,97988,0.2982,0.6746,0.169563
8,6e19193c,C1,1.2500,87.0518,5,400,98977,113699,0.3797,0.0634,0.013771
8,6ecd11f4,S3,0.2500,25.1532,1,400,1560,6202,0.3785,0.6249,0.157873
8,7447852a,C1,0.0000,83.7535,0,400,30529,36451,0.3548,0.4741,0.187326
8,7c008303,C1,0.2500,68.9540,1,400,59477,86256,0.1934,0.7753,0.360445
8,8731374e,S3,0.0000,82.1900,0,400,43324,52712,0.1629,0.8579,0.654657
8,8efcae92,S3,0.0000,71.7569,0,400,33255,46344,0.2255,0.8044,0.549697
8,90c28cc7,S3,0.5000,22.2255,2,400,3044,13696,0.0948,0.9022,0.198408
8,913fb3ed,C1,0.0000,78.2489,0,400,72507,92662,0.2447,0.5032,0.124944
8,91714a58,S3,0.2500,98.2045,1,400,131486,133890,0.3349,0.9268,0.255936
8,928ad970,C1,0.0000,92.0382,0,400,142281,154589,0.4776,0.4498,0.114441
8,941d9a10,C1,0.0000,97.3132,0,400,121478,124832,0.3996,0.4699,0.081256
8,9565186b,C1,1.0000,97.8989,4,400,98502,100616,0.2205,0.9207,0.283109
8,95990924,C1,0.7500,93.3195,3,400,117534,125948,0.4125,0.2705,0.065116
8,963e52fc,C1,0.0000,87.4065,0,400,114333,130806,0.2702,0.9336,0.635595
8,9af7a82c,C1,0.0000,80.6309,0,400,34456,42733,0.0737,0.9510,0.478716
