epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
7,00d62c1b,C1,0.0000,56.0555,0,400,67983,121278,0.2564,0.6435,0.065246
7,0520fde7,C1,4.0000,71.5278,16,400,34505,48240,0.2513,0.7033,0.374907
7,0962bcdd,C1,0.0000,75.6446,0,400,123756,163602,0.4979,0.0044,0.000772
7,0a938d79,C1,0.0000,88.4667,0,400,142427,160995,0.4244,0.4706,0.124544
7,137eaa0f,C1,0.0000,21.0544,0,400,643,3054,0.0187,0.9818,0.211020
7,1b2d62fb,C1,4.5000,78.3214,18,400,42440,54187,0.2319,0.7352,0.479678
7,1c786137,C1,15.2500,46.5245,61,400,2356,5064,0.3817,0.6175,0.250265
7,1e0a9b12,C1,0.0000,73.6211,0,400,82692,112321,0.2907,0.5089,0.081334
7,1f642eb9,C1,0.0000,84.3748,0,400,108436,128517,0.3520,0.9237,0.045370
7,1f876c06,C1,0.0000,81.3482,0,400,105821,130084,0.3737,0.1058,0.009123
7,228f6490,C1,0.0000,82.6129,0,400,129380,156610,0.4165,0.9605,0.106433
7,234bbc79,C1,0.0000,87.9713,0,400,80265,91240,0.5717,0.3699,0.262230
7,23b5c85d,C1,96.2500,100.0000,385,400,10406,10406,0.0967,0.9008,0.812570
7,25d487eb,C1,0.0000,77.2344,0,400,122306,158357,0.3972,0.4339,0.053756
7,264363fd,S3,0.0000,84.9722,0,400,173763,204494,0.5148,0.7266,0.143966
7,272f95fa,S3,0.0000,47.6114,0,400,58982,123882,0.1179,0.8349,0.159600
7,27a28665,C1,0.0000,0.0000,0,16,0,0,0.0859,0.8485,0.000000
7,28e73c20,C1,0.0000,50.0526,0,400,53759,107405,0.0356,0.9338,0.168163
7,29623171,C1,0.0000,69.7398,0,400,53685,76979,0.2364,0.9140,0.148492
7,2dee498d,C1,0.2500,51.7649,1,400,17818,34421,0.3483,0.5765,0.246194
7,31aa019c,C1,0.0000,97.7418,0,400,120412,123194,0.3003,0.9302,0.268286
7,3618c87e,C1,0.0000,81.7523,0,400,90409,110589,0.3180,0.8701,0.033950
7,3631a71a,A2,0.0000,53.1252,0,400,82342,154996,0.1806,1.0000,0.188489
7,36d67576,C1,0.0000,77.2807,0,400,126837,164125,0.4409,0.0155,0.001506
7,39a8645d,C1,3.0000,49.0657,12,400,1523,3104,0.3854,0.6016,0.339074
7,3ac3eb23,C1,0.0000,72.7217,0,400,76328,104959,0.3541,0.0157,0.001875
7,3f7978a0,C1,0.0000,66.2510,0,400,15090,22777,0.3949,0.6451,0.412275
7,445eab21,C1,100.0000,100.0000,400,400,1200,1200,0.0195,0.9964,0.997385
7,447fd412,C1,0.0000,69.6365,0,400,123946,177990,0.4651,0.1768,0.048800
7,4522001f,S2,0.0000,84.9363,0,400,131799,155174,0.3367,0.9639,0.799281
7,50cb2852,C1,0.0000,72.6012,0,400,112558,155036,0.3994,0.9912,0.121315
7,5117e062,C1,15.7500,66.8297,63,400,3143,4703,0.1737,0.8279,0.561536
7,54d9e175,C1,0.0000,41.9018,0,400,42426,101251,0.0776,0.9969,0.167692
7,5ad4f10b,S3,3.5000,59.9320,14,400,3171,5291,0.3608,0.6533,0.421514
7,5bd6f4ac,C1,11.0000,50.6250,44,400,1620,3200,0.4664,0.7032,0.370352
7,5daaa586,C1,0.0000,57.1539,0,400,14800,25895,0.2231,0.7995,0.422986
7,60b61512,C1,0.0000,77.8569,0,400,127588,163875,0.4288,0.2857,0.027681
7,6150a2bd,C1,5.7500,52.3933,23,400,53908,102891,0.1824,0.6694,0.108280
7,62c24649,C1,8.0000,57.2168,32,400,60160,105144,0.2129,0.8779,0.425633
7,662c240a,C1,0.0000,23.0132,0,400,1888,8204,0.1628,0.8286,0.181295
7,67a423a3,C1,0.0000,84.1023,0,400,93240,110865,0.3400,0.5964,0.054291
7,681b3aeb,C1,0.0000,72.8134,0,400,7992,10976,0.0593,0.9488,0.666550
7,6cdd2623,S3,0.0000,70.2421,0,400,100319,142819,0.2507,0.7123,0.237388
7,6cf79266,S3,0.0000,40.7764,0,400,50053,122750,0.0876,0.8973,0.091164
7,6d0160f0,C1,0.0000,67.9665,0,400,66599,97988,0.1902,0.8824,0.104025
7,6e19193c,C1,0.0000,75.0710,0,400,85355,113699,0.3388,0.0262,0.000626
7,6ecd11f4,S3,0.0000,22.2831,0,400,1382,6202,0.2406,0.7595,0.168608
7,7447852a,C1,0.0000,38.5614,0,400,14056,36451,0.1228,0.8276,0.083558
7,7c008303,C1,0.5000,66.4696,2,400,57334,86256,0.1867,0.7650,0.340144
7,8731374e,S3,0.0000,75.6147,0,400,39858,52712,0.1371,0.8799,0.610861
7,8efcae92,S3,0.0000,73.1702,0,400,33910,46344,0.2574,0.7600,0.532859
7,90c28cc7,S3,0.0000,21.3931,0,400,2930,13696,0.1671,0.8254,0.177013
7,913fb3ed,C1,0.0000,64.9241,0,400,60160,92662,0.2413,0.3649,0.061745
7,91714a58,S3,0.0000,94.9511,0,400,127130,133890,0.3174,0.9985,0.243063
7,928ad970,C1,0.0000,83.9905,0,400,129840,154589,0.4382,0.4478,0.084310
7,941d9a10,C1,0.0000,56.3934,0,400,70397,124832,0.2369,0.6720,0.026118
7,9565186b,C1,0.0000,68.5279,0,400,68950,100616,0.1711,1.0000,0.179050
7,95990924,C1,0.7500,79.2780,3,400,99849,125948,0.3781,0.0192,0.001295
7,963e52fc,C1,0.0000,73.7290,0,400,96442,130806,0.3156,0.8349,0.492330
7,9af7a82c,C1,0.0000,20.0197,0,400,8555,42733,0.0699,0.7858,0.109998
7,9edfc990,C1,0.0000,33.4270,0,400,40559,121336,0.0955,0.6193,0.044097
7,a2fd1cf0,S3,0.0000,96.4694,0,400,110469,114512,0.3926,0.1119,0.009209
7,a61f2674,C1,0.0000,94.5909,0,400,123880,130964,0.3885,1.0000,0.255940
7,a8d7556c,S3,0.0000,58.7638,0,400,75062,127735,0.2141,0.9577,0.140029
7,ac0a08a4,S2,0.0000,72.3532,0,400,60234,83250,0.2947,0.8611,0.608304
7,b1948b0a,C1,0.0000,32.9574,0,400,33401,101346,0.0304,1.0000,0.065372
7,b548a754,C1,0.0000,84.2873,0,400,101294,120177,0.3136,0.6805,0.117301
7,b6afb2da,C1,0.0000,79.7684,0,400,127115,159355,0.3836,1.0000,0.286138
7,b782dc8a,S3,0.0000,51.6243,0,400,60324,116852,0.2131,0.9593,0.037170
7,bbc9ae5d,C1,0.0000,70.1928,0,400,49945,71154,0.4154,0.7810,0.531600
7,bc1d5164,C1,0.7500,82.5879,3,400,22601,27366,0.3617,0.6876,0.575056
7,bdad9b1f,C1,0.0000,58.6193,0,400,67557,115247,0.2492,0.5619,0.102921
7,c909285e,S3,0.0000,67.6451,0,400,7190,10629,0.1444,0.8693,0.609313
7,c9e6f938,C1,8.2500,61.7045,33,400,59356,96194,0.2000,0.8457,0.318437
7,cce03e0d,S2,0.0000,72.3711,0,400,47893,66177,0.2541,0.9081,0.636021
7,ce9e57f2,C1,0.0000,83.1452,0,400,107708,129542,0.3535,0.9374,0.096820
7,cf98881b,C1,0.0000,58.7450,0,400,20670,35186,0.1861,0.8063,0.411278
7,d037b0a7,C1,0.0000,64.8767,0,400,73382,113110,0.3286,0.2511,0.039241
7,d4469b4b,C1,0.0000,38.1250,0,400,1220,3200,0.0807,0.9361,0.350758
7,d90796e8,C1,0.0000,83.7962,0,400,90494,107993,0.3250,0.9936,0.041140
7,db3e9e38,C1,0.0000,74.9382,0,400,77038,102802,0.2574,0.4003,0.080250
7,ddf7fa4f,C1,0.0000,83.4126,0,400,128226,153725,0.3972,0.9999,0.221184
7,e40b9e2f,C1,0.0000,85.6286,0,400,108971,127260,0.3850,0.2457,0.023176
7,e48d4e1a,C1,0.0000,87.9735,0,400,95592,108660,0.2871,0.6639,0.158388
7,e50d258f,C1,2.5000,47.5169,10,400,5626,11840,0.0788,0.9346,0.443479
7,e98196ab,C1,0.0000,66.8225,0,400,36159,54112,0.4764,0.4307,0.242788
7,e9afcf9a,C1,8.2500,36.3686,33,400,38275,105242,0.1961,0.3640,0.027286
7,eb281b96,S2,0.0000,45.7589,0,400,57739,126181,0.3890,0.6969,0.326738
7,ec883f72,C1,0.0000,80.2620,0,400,101139,126011,0.3572,0.0138,0.000105
7,f1cefba8,S3,0.0000,78.7912,0,400,109467,138933,0.2960,0.7233,0.184407
