epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
51,0934a4d8_eval,unknown,0.0000,19.1011,0,4,17,89,0.3329,0.6664,0.134585
51,135a2760_eval,unknown,0.0000,90.8571,0,2,477,525,0.2686,0.1111,0.003944
51,136b0064_eval,unknown,0.0000,81.1404,0,3,185,228,0.1320,0.3664,0.077714
51,13e47133_eval,unknown,0.0000,76.2675,0,3,707,927,0.0812,0.9585,0.311047
51,142ca369_eval,unknown,0.0000,88.6708,0,3,994,1121,0.3986,0.1209,0.018119
51,16b78196_eval,unknown,0.0000,95.6618,0,2,1720,1798,0.9093,0.8589,0.823514
51,16de56c4_eval,unknown,0.0000,85.1282,0,3,332,390,0.1346,0.1624,0.005578
51,1818057f_eval,unknown,0.0000,93.6047,0,3,483,516,0.1798,0.3000,0.024945
51,195c6913_eval,unknown,0.0000,90.0425,0,3,1483,1647,0.5373,0.6376,0.176287
51,1ae2feb7_eval,unknown,0.0000,90.4412,0,3,492,544,0.1880,0.3769,0.016915
51,20270e3b_eval,unknown,0.0000,59.3023,0,4,102,172,0.0517,0.4119,0.027468
51,20a9e565_eval,unknown,0.0000,70.2128,0,3,66,94,0.3276,0.6728,0.508359
51,21897d95_eval,unknown,0.0000,77.2374,0,4,397,514,0.0330,0.9142,0.218913
51,221dfab4_eval,unknown,0.0000,92.8571,0,2,1183,1274,0.8085,0.8004,0.798431
51,247ef758_eval,unknown,0.0000,85.0895,0,3,428,503,0.1470,0.8281,0.188167
51,269e22fb_eval,unknown,0.0000,60.8521,0,5,1214,1995,0.0970,0.9365,0.421338
51,271d71e2_eval,unknown,0.0000,82.9960,0,3,410,494,0.1387,0.8697,0.196566
51,28a6681f_eval,unknown,0.0000,93.2660,0,3,277,297,0.0900,0.9573,0.124247
51,291dc1e1_eval,unknown,0.0000,62.5000,0,4,185,296,0.0820,0.7464,0.170649
51,2b83f449_eval,unknown,0.0000,79.3349,0,2,334,421,0.2284,0.7229,0.158830
51,2ba387bc_eval,unknown,0.0000,65.0000,0,4,247,380,0.4124,0.5347,0.393693
51,2c181942_eval,unknown,0.0000,94.7566,0,3,1265,1335,0.8210,0.6395,0.445235
51,2d0172a1_eval,unknown,0.0000,65.5052,0,4,188,287,0.5010,0.4162,0.299327
51,31f7f899_eval,unknown,0.0000,88.8636,0,3,391,440,0.2766,0.1181,0.009044
51,332f06d7_eval,unknown,0.0000,92.7746,0,4,642,692,0.3171,0.5069,0.036560
51,35ab12c3_eval,unknown,0.0000,84.5666,0,3,800,946,0.5424,0.4668,0.159009
51,36a08778_eval,unknown,0.0000,74.0426,0,6,696,940,0.2869,0.1692,0.032356
51,38007db0_eval,unknown,0.0000,66.2879,0,2,175,264,0.3818,0.5792,0.421286
51,3a25b0d8_eval,unknown,0.0000,43.8095,0,2,92,210,0.6563,0.3207,0.205220
51,3dc255db_eval,unknown,0.0000,94.8052,0,3,365,385,0.2492,0.3417,0.014613
51,3e6067c3_eval,unknown,0.0000,95.3824,0,3,1322,1386,0.5124,0.8496,0.487611
51,409aa875_eval,unknown,0.0000,95.4248,0,3,730,765,0.3136,0.7234,0.095082
51,446ef5d2_eval,unknown,0.0000,78.6982,0,2,266,338,0.1188,0.8162,0.158486
51,45a5af55_eval,unknown,0.0000,86.9600,0,2,1087,1250,0.1051,0.9798,0.782429
51,4a21e3da_eval,unknown,0.0000,84.7265,0,3,821,969,0.3947,0.4107,0.084262
51,4c3d4a41_eval,unknown,0.0000,83.9623,0,2,267,318,0.1113,0.9079,0.160265
51,4c416de3_eval,unknown,0.0000,92.1875,0,3,1298,1408,0.5618,0.7327,0.252201
51,4c7dc4dd_eval,unknown,0.0000,61.5385,0,2,24,39,0.1738,0.8266,0.517316
51,4e34c42c_eval,unknown,0.0000,59.5238,0,2,100,168,0.2658,0.6907,0.408755
51,53fb4810_eval,unknown,0.0000,94.1548,0,2,596,633,0.3496,0.7925,0.185810
51,5545f144_eval,unknown,0.0000,93.3086,0,3,251,269,0.2830,0.2667,0.127809
51,581f7754_eval,unknown,0.0000,85.1602,0,3,505,593,0.2257,0.5808,0.069955
51,58490d8a_eval,unknown,0.0000,81.9355,0,3,127,155,0.1368,0.7844,0.509165
51,58f5dbd5_eval,unknown,0.0000,62.2685,0,3,269,432,0.2306,0.5529,0.210069
51,5961cc34_eval,unknown,0.0000,93.0821,0,4,1655,1778,0.4360,0.6723,0.171309
51,5dbc8537_eval,unknown,0.0000,64.3110,0,2,182,283,0.0779,0.8056,0.265480
51,62593bfd_eval,unknown,0.0000,94.9650,0,2,1358,1430,0.7408,0.6141,0.392331
51,64efde09_eval,unknown,0.0000,92.3427,0,2,1218,1319,0.6463,0.7229,0.291355
51,65b59efc_eval,unknown,0.0000,63.6480,0,3,499,784,0.0656,0.7396,0.214059
51,67e490f4_eval,unknown,0.0000,67.0139,0,2,193,288,0.4110,0.6037,0.512144
51,6e453dd6_eval,unknown,0.0000,80.5873,0,3,494,613,0.1713,0.5853,0.070966
51,6e4f6532_eval,unknown,0.0000,91.5020,0,2,926,1012,0.5056,0.6020,0.165701
51,6ffbe589_eval,unknown,0.0000,45.3552,0,3,166,366,0.2866,0.3397,0.110126
51,71e489b6_eval,unknown,0.0000,89.3029,0,3,743,832,0.2944,0.2433,0.021696
