epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
14,0934a4d8_eval,unknown,0.0000,21.3483,0,4,19,89,0.1513,0.8492,0.195678
14,135a2760_eval,unknown,0.0000,71.0476,0,2,373,525,0.2097,0.1667,0.003646
14,136b0064_eval,unknown,0.0000,74.5614,0,3,170,228,0.1194,0.4247,0.081961
14,13e47133_eval,unknown,0.0000,38.1877,0,3,354,927,0.0582,0.9044,0.145655
14,142ca369_eval,unknown,0.0000,82.3372,0,3,923,1121,0.3823,0.0119,0.000851
14,16b78196_eval,unknown,0.0000,94.1602,0,2,1693,1798,0.9049,0.7718,0.704334
14,16de56c4_eval,unknown,0.0000,80.7692,0,3,315,390,0.1253,0.2550,0.008608
14,1818057f_eval,unknown,0.0000,59.8837,0,3,309,516,0.1149,0.5037,0.020883
14,195c6913_eval,unknown,0.0000,76.9277,0,3,1267,1647,0.4627,0.7892,0.159622
14,1ae2feb7_eval,unknown,0.0000,76.4706,0,3,416,544,0.1628,0.4597,0.015732
14,20270e3b_eval,unknown,0.0000,70.3488,0,4,121,172,0.0377,0.6570,0.050440
14,20a9e565_eval,unknown,0.0000,68.0851,0,3,64,94,0.0413,0.9605,0.626006
14,21897d95_eval,unknown,0.0000,74.7082,0,4,384,514,0.0165,0.9777,0.220672
14,221dfab4_eval,unknown,0.0000,82.1036,0,2,1046,1274,0.8713,0.4670,0.485476
14,247ef758_eval,unknown,0.0000,57.4553,0,3,289,503,0.2088,0.3304,0.055705
14,269e22fb_eval,unknown,0.0000,57.9950,0,5,1157,1995,0.0873,0.9516,0.405782
14,271d71e2_eval,unknown,0.0000,67.0040,0,3,331,494,0.1716,0.5646,0.111379
14,28a6681f_eval,unknown,0.0000,63.2997,0,3,188,297,0.1418,0.2145,0.020396
14,291dc1e1_eval,unknown,0.0000,64.5270,0,4,191,296,0.1256,0.5465,0.145415
14,2b83f449_eval,unknown,0.0000,55.1069,0,2,232,421,0.2410,0.4709,0.070667
14,2ba387bc_eval,unknown,0.0000,62.3684,0,4,237,380,0.0825,0.9273,0.534449
14,2c181942_eval,unknown,0.0000,93.7828,0,3,1252,1335,0.8110,0.6489,0.425164
14,2d0172a1_eval,unknown,0.0000,58.1882,0,4,167,287,0.3171,0.6142,0.381746
14,31f7f899_eval,unknown,0.0000,74.3182,0,3,327,440,0.2184,0.5000,0.021364
14,332f06d7_eval,unknown,0.0000,75.8671,0,4,525,692,0.2620,0.8264,0.026966
14,35ab12c3_eval,unknown,0.0000,75.8985,0,3,718,946,0.5284,0.2648,0.080565
14,36a08778_eval,unknown,0.0000,57.0213,0,6,536,940,0.2505,0.1015,0.012199
14,38007db0_eval,unknown,0.0000,63.6364,0,2,168,264,0.3878,0.5570,0.385524
14,3a25b0d8_eval,unknown,0.0000,52.8571,0,2,111,210,0.4840,0.5098,0.330248
14,3dc255db_eval,unknown,0.0000,78.1818,0,3,301,385,0.2011,0.5667,0.019283
14,3e6067c3_eval,unknown,0.0000,78.1385,0,3,1083,1386,0.6067,0.1604,0.112163
14,409aa875_eval,unknown,0.0000,89.6732,0,3,686,765,0.3288,0.3804,0.047543
14,446ef5d2_eval,unknown,0.0000,77.5148,0,2,262,338,0.1408,0.7359,0.136882
14,45a5af55_eval,unknown,0.0000,62.4000,0,2,780,1250,0.0975,0.9880,0.564855
