epoch,val_total_grids,val_total_cells,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_quality
0,64,14067,0.00000000,0.84616478,0.19943314,0.68182894,0.23814734
0,358,99238,0.00279330,0.89869808,0.33628077,0.64750459,0.25866941
1,358,99238,0.00279330,0.90100566,0.33287147,0.64571892,0.26288874
2,358,99238,0.00279330,0.90035067,0.33181334,0.65988645,0.26416320
3,358,99238,0.00279330,0.90182188,0.32849396,0.66186983,0.26645488
4,358,99238,0.00279330,0.90158004,0.32281186,0.66881811,0.26997105
5,358,99238,0.00279330,0.90178158,0.32121481,0.67411078,0.27186467
6,358,99238,0.00279330,0.89732764,0.32112686,0.66396353,0.26587109
7,358,99238,0.00279330,0.89794232,0.32655912,0.65751768,0.26454831
8,358,99238,0.00279330,0.89869808,0.32711609,0.65421530,0.26279124
9,358,99238,0.00279330,0.89960499,0.32248523,0.66801735,0.26772126
10,358,99238,0.00279330,0.89922207,0.32134151,0.66386113,0.26722442
11,358,99238,0.00279330,0.89912130,0.31819929,0.67204574,0.26928074
12,358,99238,0.00279330,0.89606804,0.31677690,0.67088981,0.26926158
13,358,99238,0.00279330,0.89491928,0.31896578,0.66982130,0.26724750
14,358,99238,0.00279330,0.89415345,0.31170869,0.68275561,0.26997201
15,358,99238,0.00279330,0.89558435,0.31564705,0.68104503,0.26798294
16,358,99238,0.00279330,0.89403253,0.31233661,0.68349878,0.27031350
17,358,99238,0.00279330,0.89420383,0.31396126,0.67877679,0.26893917
18,358,99238,0.00279330,0.89048550,0.32058169,0.65616564,0.26012572
19,358,99238,0.00279330,0.89092888,0.31837290,0.66952442,0.26252538
20,358,99238,0.00279330,0.89178540,0.32049261,0.66950622,0.26285650
21,358,99238,0.00279330,0.89087849,0.31601945,0.67260394,0.26374838
22,358,99238,0.00279330,0.89101957,0.31820717,0.66948894,0.26291686
23,358,99238,0.00279330,0.89081803,0.31881991,0.66730098,0.26165210
24,358,99238,0.00279330,0.88836937,0.32489893,0.64888557,0.25635845
25,358,99238,0.00279330,0.88686793,0.32585746,0.65099633,0.25568712
26,358,99238,0.00279330,0.88938713,0.32292007,0.65407772,0.26010572
27,358,99238,0.00279330,0.88808722,0.31814110,0.66363072,0.26073426
28,358,99238,0.00279330,0.88715008,0.31861889,0.65963558,0.25877630
29,358,99238,0.00279330,0.88668655,0.31733006,0.66342387,0.25978324
30,358,99238,0.00279330,0.88527580,0.32313651,0.66128332,0.25502008
31,358,99238,0.00279330,0.88406659,0.32050941,0.65100016,0.25748843
32,358,99238,0.00279330,0.88540680,0.31170914,0.67403655,0.25991449
33,358,99238,0.00279330,0.88273645,0.32195378,0.65136990,0.25314761
34,358,99238,0.00279330,0.88148693,0.31940358,0.65306636,0.25321820
35,358,99238,0.00279330,0.88204115,0.31902037,0.65665035,0.25457311
36,358,99238,0.00000000,0.88087225,0.31663418,0.66191720,0.25313018
37,358,99238,0.00279330,0.88257522,0.32767765,0.63727171,0.24796705
38,358,99238,0.00279330,0.88321006,0.32784689,0.64033956,0.24882121
39,358,99238,0.00279330,0.88196054,0.33060315,0.63709178,0.24730383
40,358,99238,0.00279330,0.88041879,0.32099854,0.65134240,0.25183364
41,358,99238,0.00279330,0.88054979,0.32213059,0.65118014,0.25157040
42,358,99238,0.00000000,0.87743606,0.32093532,0.64452207,0.24985324
43,358,99238,0.00279330,0.88199077,0.32683286,0.63951215,0.24870270
44,358,99238,0.00000000,0.88026764,0.32552796,0.64117762,0.24706581
45,358,99238,0.00279330,0.88006610,0.32175869,0.65019869,0.24900765
46,358,99238,0.00279330,0.87881658,0.32470431,0.64251350,0.24727059
47,358,99238,0.00279330,0.87848405,0.32379994,0.64598309,0.24713446
48,358,99238,0.00000000,0.87697253,0.32579236,0.63893682,0.24496363
49,358,99238,0.00279330,0.87802052,0.32415732,0.64495403,0.24658016
50,358,99238,0.00000000,0.87724460,0.32704689,0.62927147,0.24443657
51,358,99238,0.00000000,0.87686169,0.32662670,0.63461090,0.24420452
52,358,99238,0.00000000,0.87650900,0.32621176,0.63678792,0.24391264
53,358,99238,0.00000000,0.87596485,0.32340635,0.64345698,0.24426226
54,358,99238,0.00000000,0.87230698,0.32737505,0.63315550,0.24198169
55,358,99238,0.00000000,0.87363711,0.32286451,0.64823662,0.24589359
56,358,99238,0.00279330,0.87377819,0.31896612,0.65932632,0.24808202
57,358,99238,0.00000000,0.87314335,0.32227544,0.64614353,0.24355349
58,358,99238,0.00000000,0.87361696,0.32164311,0.64843738,0.24381932
59,358,99238,0.00000000,0.87361696,0.32305965,0.64549939,0.24292392
60,358,99238,0.00000000,0.87072492,0.32392340,0.62881442,0.23784478
61,358,99238,0.00000000,0.87427195,0.32593994,0.64571433,0.24390659
62,358,99238,0.00000000,0.87306274,0.32087732,0.64522683,0.24442974
63,358,99238,0.00000000,0.87364719,0.32440460,0.64368464,0.24288304
64,358,99238,0.00000000,0.87350612,0.32392539,0.64202699,0.24326987
65,358,99238,0.00000000,0.87281082,0.32280518,0.64158293,0.24254381
66,358,99238,0.00000000,0.87358673,0.32368762,0.64172409,0.24381334
67,358,99238,0.00000000,0.87156130,0.32440578,0.64181512,0.24207159
68,358,99238,0.00000000,0.87192406,0.32496412,0.63467781,0.24073623
69,358,99238,0.00000000,0.87225660,0.32449575,0.63527990,0.24172890
70,358,99238,0.00279330,0.87129930,0.32308290,0.63901302,0.24151996
71,358,99238,0.00279330,0.87112800,0.32330162,0.63312943,0.24048283
72,358,99238,0.00279330,0.86734920,0.32655178,0.62912003,0.23586368
73,358,99238,0.00279330,0.86672444,0.32043442,0.64691523,0.23971071
74,358,99238,0.00279330,0.87099700,0.32203636,0.63845219,0.24130694
75,358,99238,0.00000000,0.86928394,0.32584716,0.63329014,0.23732513
76,358,99238,0.00279330,0.86962655,0.32813295,0.62813509,0.23672389
77,358,99238,0.00279330,0.86848788,0.32538912,0.63622154,0.23783717
78,358,99238,0.00000000,0.86940487,0.32564096,0.63114636,0.24009646
79,358,99238,0.00000000,0.86666398,0.33109730,0.61622320,0.23312214
80,358,99238,0.00279330,0.86799412,0.32476411,0.62722328,0.23776642
81,358,99238,0.00000000,0.87065439,0.32946829,0.62082200,0.23663630
82,358,99238,0.00000000,0.86864911,0.32606926,0.63044980,0.23725683
83,358,99238,0.00000000,0.86840726,0.32805202,0.62572170,0.23508629
84,358,99238,0.00000000,0.86413471,0.32397802,0.62905966,0.23395209
85,358,99238,0.00000000,0.86912272,0.33202963,0.62298605,0.23437760
86,358,99238,0.00000000,0.86737943,0.32495966,0.63644754,0.23699975
87,358,99238,0.00000000,0.86628106,0.32383468,0.63261916,0.23631727
88,358,99238,0.00000000,0.86839719,0.32344258,0.63254864,0.23911402
89,358,99238,0.00000000,0.86703682,0.32472937,0.62973510,0.23709345
90,358,99238,0.00279330,0.86391302,0.33182874,0.61092619,0.23030373
91,358,99238,0.00000000,0.86664383,0.32701634,0.63448969,0.23793332
92,358,99238,0.00000000,0.86609968,0.32870982,0.61907210,0.23259633
93,358,99238,0.00000000,0.86774220,0.32811249,0.62474423,0.23570581
94,358,99238,0.00000000,0.86624075,0.32833914,0.62094291,0.23450199
95,358,99238,0.00000000,0.86540438,0.32812160,0.61921880,0.23367237
96,358,99238,0.00000000,0.86377194,0.32321004,0.62612733,0.23542992
97,358,99238,0.00000000,0.86391302,0.32398272,0.63853596,0.23544414
98,358,99238,0.00000000,0.86406417,0.32788315,0.62189248,0.23154528
99,358,99238,0.00000000,0.86618029,0.32951444,0.62011912,0.23443417
