epoch,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_quality
0,0.00000000,0.05758157,0.02279507,0.92701342,0.02422005
0,0.00000000,0.71702372,0.29106474,0.57728052,0.17056049
1,0.00000000,0.72683851,0.29330288,0.58833900,0.17688376
2,0.00000000,0.72662690,0.28287522,0.62198389,0.18940631
3,0.00000000,0.72501461,0.30156003,0.56215841,0.17016571
4,0.00000000,0.72852133,0.30382088,0.57023517,0.17054277
5,0.00000000,0.72744312,0.30322721,0.56560868,0.17084255
6,0.00000000,0.71955299,0.28198371,0.61501784,0.17996230
7,0.00000000,0.71403092,0.29697193,0.57793596,0.16861450
8,0.00000000,0.72443016,0.30510571,0.56030566,0.17054898
9,0.00000000,0.72760435,0.30481769,0.55862276,0.16953480
10,0.00000000,0.72866241,0.30617429,0.55576307,0.17109535
11,0.00000000,0.72785626,0.30689524,0.55139667,0.16983626
12,0.00000000,0.72387593,0.30294646,0.56604674,0.17145491
13,0.00000000,0.72050021,0.30152944,0.56648281,0.16988659
14,0.00000000,0.72443016,0.30498017,0.56115251,0.16706664
15,0.00000000,0.73243113,0.30285538,0.56779657,0.17499888
16,0.00000000,0.72354340,0.30631472,0.54892620,0.16802358
17,0.00000000,0.72739273,0.30666823,0.54979464,0.17080020
18,0.00000000,0.70840807,0.29993064,0.56510696,0.16475290
19,0.00000000,0.73332796,0.30408495,0.56887101,0.17647283
20,0.00000000,0.72845080,0.31173923,0.55426129,0.16802943
21,0.00000000,0.73305589,0.30480129,0.57032374,0.17501155
22,0.00000000,0.73188698,0.30578955,0.56488955,0.17375931
23,0.00000000,0.72966001,0.30723639,0.55753252,0.16972080
24,0.00000000,0.71732602,0.29838726,0.56736365,0.17100873
25,0.00000000,0.72140712,0.30843466,0.56154521,0.16782402
26,0.00000000,0.71829340,0.30438697,0.55900857,0.16788568
27,0.00000000,0.72532699,0.30765356,0.55574280,0.17008230
28,0.00000000,0.72530684,0.30957337,0.55256430,0.16833851
29,0.00000000,0.72722143,0.30740105,0.55530336,0.17091563
30,0.00000000,0.71851508,0.30499386,0.56006730,0.16505691
31,0.00000000,0.72437977,0.29740025,0.56704970,0.17235766
32,0.00000000,0.72177996,0.30491653,0.56291152,0.16836364
