epoch,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_quality
0,0.00000000,0.12561314,0.04551586,0.89644567,0.04232732
0,0.00000000,0.69134807,0.28019851,0.58634057,0.15968389
1,0.00000000,0.71277132,0.28690235,0.58483326,0.16921986
2,0.00000000,0.71509905,0.28252021,0.58324087,0.17346898
3,0.00000000,0.72291864,0.28423283,0.59867366,0.17932620
4,0.00000000,0.72437977,0.28041506,0.60617133,0.18407012
5,0.00000000,0.72762450,0.28482367,0.59826890,0.18261882
6,0.00000000,0.72090328,0.27050237,0.64637669,0.19049746
7,0.00000000,0.71956307,0.27800864,0.61827737,0.18021614
8,0.00000000,0.72464177,0.27524241,0.62581300,0.18801612
9,0.00000000,0.72489369,0.27599789,0.62650100,0.18580235
10,0.00000000,0.72744312,0.27587195,0.62474727,0.18812696
11,0.00000000,0.72662690,0.27952048,0.61745479,0.18503130
12,0.00000000,0.72248534,0.27284138,0.62608415,0.18837314
13,0.00000000,0.72705012,0.28254102,0.61087458,0.18376044
14,0.00000000,0.72469215,0.28247268,0.60664443,0.18371262
15,0.00000000,0.73019408,0.28323603,0.60993525,0.18567528
16,0.00000000,0.72430924,0.28007168,0.59985829,0.18124656
17,0.00000000,0.73018400,0.28029629,0.61028819,0.18653206
18,0.00000000,0.71967392,0.27493099,0.61887221,0.18207053
19,0.00000000,0.72688889,0.27604543,0.62548183,0.18880451
20,0.00000000,0.71297285,0.27920778,0.59575997,0.17503949
21,0.00000000,0.72375501,0.28272412,0.59197917,0.17911989
22,0.00000000,0.72581068,0.28321330,0.59782120,0.18010835
23,0.00000000,0.72553860,0.28341470,0.59847737,0.18080572
24,0.00000000,0.71892823,0.27641002,0.59778064,0.18171045
25,0.00000000,0.72379532,0.28216185,0.58885950,0.18060071
26,0.00000000,0.72083275,0.28105796,0.60540992,0.18104705
27,0.00000000,0.72428908,0.28232603,0.59822315,0.18052710
28,0.00000000,0.72406739,0.28377325,0.59291220,0.17946211
29,0.00000000,0.72528668,0.28391865,0.59301326,0.18011172
30,0.00000000,0.69899635,0.27676145,0.60117382,0.17460592
31,0.00000000,0.71463552,0.28600051,0.58851525,0.17176725
32,0.00000000,0.72152804,0.28302006,0.59320583,0.17801776
33,0.00000000,0.72247526,0.28117985,0.58987856,0.18148961
34,0.00000000,0.71978476,0.28489541,0.58717388,0.17699999
35,0.00000000,0.72139705,0.28529219,0.58517557,0.17802052
36,0.00000000,0.72152804,0.27595481,0.61139023,0.18418236
37,0.00000000,0.72407747,0.28305778,0.59543461,0.17991260
38,0.00000000,0.71916000,0.28100939,0.59587003,0.17697930
39,0.00000000,0.72340233,0.28229873,0.60261236,0.17957901
40,0.00000000,0.71695318,0.28496387,0.58420814,0.17384627
41,0.00000000,0.72160866,0.28490948,0.58944487,0.17655592
42,0.00000000,0.71693303,0.28378016,0.59353496,0.17744378
43,0.00000000,0.70396421,0.28334653,0.59966337,0.16951007
44,0.00000000,0.72660674,0.28258748,0.60425119,0.18359065
45,0.00000000,0.71955299,0.28231519,0.60276088,0.17708781
46,0.00000000,0.72419839,0.28150048,0.60128782,0.18169490
47,0.00000000,0.72176989,0.28207710,0.59809636,0.17830699
48,0.00000000,0.71439368,0.28121615,0.60480219,0.17463217
49,0.00000000,0.71841432,0.27984247,0.59918830,0.18219717
50,0.00000000,0.72243495,0.28415063,0.59151148,0.17683438
51,0.00000000,0.71956307,0.27978554,0.60558023,0.18112029
52,0.00000000,0.72270703,0.28329574,0.59752822,0.17889396
53,0.00000000,0.72227373,0.28328697,0.59775699,0.17810075
54,0.00000000,0.72105443,0.28378317,0.59769351,0.17730192
55,0.00000000,0.72057075,0.28364281,0.60619781,0.17876583
56,0.00000000,0.71673149,0.28191060,0.60081274,0.17833595
57,0.00000000,0.71466575,0.28833806,0.58655426,0.17223514
58,0.00000000,0.71439368,0.28768062,0.59232847,0.17461534
59,0.00000000,0.71521998,0.28794584,0.59063538,0.17366254
60,0.00000000,0.72077228,0.28302429,0.60151601,0.17983141
61,0.00000000,0.71193494,0.28544704,0.59688761,0.17160279
62,0.00000000,0.71518975,0.28435455,0.59872310,0.17472667
63,0.00000000,0.71985530,0.28150593,0.60373850,0.17998303
64,0.00000000,0.71373869,0.28283233,0.60105351,0.17475713
65,0.00000000,0.71750741,0.28529331,0.59780088,0.17624077
66,0.00000000,0.70903283,0.28264358,0.60512038,0.17235564
67,0.00000000,0.70964751,0.28312168,0.60426430,0.17109885
68,0.00000000,0.71982507,0.28543832,0.59484394,0.17826701
69,0.00000000,0.71929100,0.28773308,0.59864134,0.17547640
70,0.00000000,0.71604627,0.28601517,0.59784723,0.17559579
71,0.00000000,0.71717487,0.28391157,0.60314480,0.17693507
72,0.00000000,0.71239848,0.28505753,0.60305070,0.17280953
73,0.00000000,0.71443399,0.28198241,0.60066251,0.17496194
74,0.00000000,0.71924061,0.28205662,0.60226080,0.17717173
75,0.00000000,0.71865616,0.28139388,0.60394765,0.17704019
76,0.00000000,0.71678188,0.28201345,0.60444526,0.17676911
77,0.00000000,0.71809186,0.28178345,0.60787351,0.17707546
78,0.00000000,0.70789415,0.28426591,0.59747521,0.17198029
79,0.00000000,0.72110482,0.28744186,0.59878459,0.17478476
80,0.00000000,0.71163264,0.28215910,0.60086253,0.17480294
81,0.00000000,0.71791048,0.28858253,0.59760686,0.17252805
82,0.00000000,0.71703380,0.28543504,0.59888822,0.17355180
83,0.00000000,0.71464560,0.28530197,0.59977623,0.17275746
84,0.00000000,0.71775933,0.28539016,0.59804816,0.17645057
85,0.00000000,0.70838792,0.28305407,0.60516848,0.17235517
86,0.00000000,0.71821278,0.28773989,0.60042004,0.17454385
87,0.00000000,0.71779963,0.28535852,0.60350969,0.17420206
88,0.00000000,0.71272093,0.28523460,0.60103938,0.17139288
89,0.00000000,0.71396038,0.28779718,0.59637079,0.16996388
90,0.00000000,0.70821661,0.28478137,0.60934121,0.17047884
91,0.00000000,0.71624781,0.29203070,0.58707796,0.16954430
92,0.00000000,0.71477660,0.28266054,0.60885738,0.17518186
93,0.00000000,0.71728572,0.28935437,0.60408844,0.17226539
94,0.00000000,0.71371854,0.28969577,0.59523368,0.16853486
95,0.00000000,0.71226748,0.28916948,0.59754730,0.16866084
96,0.00000000,0.71326508,0.29209861,0.59534603,0.16638776
97,0.00000000,0.71537113,0.29037875,0.59806435,0.16706310
98,0.00000000,0.71593543,0.28938530,0.59549226,0.16982076
99,0.00000000,0.71618735,0.28602796,0.60009393,0.17116381
