epoch,val_total_grids,val_total_cells,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_quality
0,64,14067,0.00000000,0.07073292,0.02663557,0.94466903,0.02750880
0,358,99238,0.00000000,0.66465467,0.27076548,0.61178804,0.16150230
1,358,99238,0.00000000,0.70858945,0.29113203,0.58161560,0.16761413
2,358,99238,0.00000000,0.71500836,0.28704593,0.59268812,0.17572375
3,358,99238,0.00000000,0.71938169,0.29226456,0.58989556,0.17393401
4,358,99238,0.00000000,0.73120176,0.29286679,0.59942580,0.18074277
5,358,99238,0.00000000,0.73114130,0.29485122,0.59678089,0.18093274
6,358,99238,0.00000000,0.72753381,0.28904863,0.62055234,0.18228396
7,358,99238,0.00000000,0.73011346,0.28740865,0.60993566,0.18516791
8,358,99238,0.00000000,0.72401701,0.28988648,0.60327836,0.17935383
9,358,99238,0.00000000,0.72368448,0.29784832,0.57176985,0.17419313
10,358,99238,0.00000000,0.73220944,0.30165927,0.57312450,0.17530214
11,358,99238,0.00000000,0.73206836,0.29701277,0.59002180,0.18147466
12,358,99238,0.00000000,0.73083899,0.29858474,0.58486512,0.17617021
13,358,99238,0.00000000,0.72474254,0.29199001,0.60084652,0.17706258
14,358,99238,0.00000000,0.72308995,0.28725969,0.60146006,0.18013998
15,358,99238,0.00000000,0.72892440,0.29111174,0.60442679,0.17990039
16,358,99238,0.00000000,0.73007316,0.29070539,0.60175938,0.18154996
17,358,99238,0.00000000,0.72994216,0.29140502,0.59637773,0.18015943
18,358,99238,0.00000000,0.72573006,0.28730774,0.62153250,0.18127111
19,358,99238,0.00000000,0.71751748,0.29333625,0.58781343,0.17323865
20,358,99238,0.00000000,0.72439993,0.28796888,0.61132789,0.17984834
21,358,99238,0.00000000,0.72972047,0.29919176,0.58893837,0.17703294
22,358,99238,0.00000000,0.72776557,0.29768507,0.58249062,0.17647263
23,358,99238,0.00000000,0.72912594,0.29754621,0.58436884,0.17746726
24,358,99238,0.00000000,0.71235817,0.28973272,0.59704597,0.17228745
25,358,99238,0.00000000,0.73025454,0.29251488,0.60574173,0.17971404
26,358,99238,0.00000000,0.72760435,0.29033630,0.59451678,0.17765797
27,358,99238,0.00000000,0.72312018,0.29258723,0.59254987,0.17674784
28,358,99238,0.00000000,0.72724158,0.29494896,0.58745135,0.17749007
29,358,99238,0.00000000,0.72947863,0.29395385,0.59007535,0.17858338
30,358,99238,0.00000000,0.71989560,0.30000779,0.56694433,0.16664695
31,358,99238,0.00000000,0.72815857,0.28819551,0.61003771,0.18074783
32,358,99238,0.00000000,0.72421855,0.29199952,0.59594554,0.17655281
33,358,99238,0.00000000,0.72632459,0.29853894,0.58234037,0.17338180
34,358,99238,0.00000000,0.72972047,0.29833323,0.58340144,0.17667272
35,358,99238,0.00000000,0.72878333,0.29847129,0.58311948,0.17565119
36,358,99238,0.00000000,0.71998630,0.29856277,0.57516462,0.16857803
37,358,99238,0.00000000,0.72397670,0.30159747,0.57101891,0.17001494
38,358,99238,0.00000000,0.72536730,0.29193961,0.59483942,0.17729900
39,358,99238,0.00000000,0.72764465,0.29690410,0.58259217,0.17588060
40,358,99238,0.00000000,0.72639513,0.29635255,0.58228595,0.17512198
41,358,99238,0.00000000,0.72738266,0.29737293,0.58126029,0.17496405
42,358,99238,0.00000000,0.71651988,0.29551319,0.58505211,0.16738115
43,358,99238,0.00000000,0.72194119,0.29772574,0.58548389,0.17260100
44,358,99238,0.00000000,0.72803765,0.29875412,0.57997503,0.17577850
45,358,99238,0.00000000,0.72718112,0.29807863,0.58791832,0.17459981
46,358,99238,0.00000000,0.72915617,0.29720295,0.59414132,0.17743961
47,358,99238,0.00000000,0.72711058,0.29807145,0.59216572,0.17459295
48,358,99238,0.00000000,0.72661682,0.29873521,0.58293795,0.17237117
49,358,99238,0.00000000,0.71296278,0.29249901,0.60129144,0.16975291
50,358,99238,0.00000000,0.71859570,0.29500235,0.59483806,0.17152697
51,358,99238,0.00000000,0.72692920,0.30062582,0.58383786,0.17304625
52,358,99238,0.00000000,0.72637498,0.29892518,0.58759424,0.17407434
53,358,99238,0.00000000,0.72475261,0.29970129,0.58260206,0.17285078
54,358,99238,0.00000000,0.72283803,0.30156833,0.58154172,0.16823420
55,358,99238,0.00000000,0.71674157,0.29566326,0.58512262,0.16853298
56,358,99238,0.00000000,0.72246518,0.29753269,0.58749297,0.17103784
57,358,99238,0.00000000,0.72522622,0.29786180,0.59184056,0.17108372
58,358,99238,0.00000000,0.72479292,0.29838450,0.58716705,0.17198690
59,358,99238,0.00000000,0.72302948,0.29803891,0.58548747,0.17113977
60,358,99238,0.00000000,0.72139705,0.29287744,0.59651784,0.17181978
61,358,99238,0.00000000,0.72857172,0.29386310,0.60120920,0.17755208
62,358,99238,0.00000000,0.71931115,0.29824629,0.57955007,0.16893145
63,358,99238,0.00000000,0.72648582,0.29627794,0.59206924,0.17345745
64,358,99238,0.00000000,0.72360386,0.29732867,0.58743179,0.17228107
65,358,99238,0.00000000,0.72198150,0.29665261,0.58860904,0.17101487
66,358,99238,0.00000000,0.71510913,0.29055447,0.59620231,0.17118918
67,358,99238,0.00000000,0.72055060,0.29553484,0.58804203,0.17220578
68,358,99238,0.00000000,0.72508515,0.29413473,0.60488544,0.17403994
69,358,99238,0.00000000,0.71815232,0.29589261,0.58706851,0.16893530
70,358,99238,0.00000000,0.72298918,0.29852050,0.58754744,0.16982735
71,358,99238,0.00000000,0.72196135,0.29712994,0.58709080,0.16959862
72,358,99238,0.00000000,0.71841432,0.29749475,0.57755131,0.16679100
73,358,99238,0.00000000,0.72450070,0.29627091,0.58562167,0.17405049
74,358,99238,0.00000000,0.71158226,0.29660964,0.57509196,0.16638696
75,358,99238,0.00000000,0.71900885,0.29458131,0.58725234,0.16990981
76,358,99238,0.00000000,0.72082267,0.29512202,0.58590661,0.17014629
77,358,99238,0.00000000,0.72034906,0.29543803,0.58623898,0.16943385
78,358,99238,0.00000000,0.71928092,0.29729053,0.57806646,0.16799201
79,358,99238,0.00000000,0.72251557,0.29639383,0.59139001,0.17178888
