epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
15,0934a4d8_eval,unknown,0.0000,26.9663,0,4,24,89,0.1165,0.8847,0.267046
15,135a2760_eval,unknown,0.0000,64.5714,0,2,339,525,0.1919,0.1667,0.003303
15,136b0064_eval,unknown,0.0000,78.5088,0,3,179,228,0.1346,0.3525,0.072302
15,13e47133_eval,unknown,0.0000,38.8350,0,3,360,927,0.0845,0.8160,0.142903
15,142ca369_eval,unknown,0.0000,79.6610,0,3,893,1121,0.3712,0.0119,0.000810
15,16b78196_eval,unknown,0.0000,94.6607,0,2,1702,1798,0.9060,0.7570,0.709000
15,16de56c4_eval,unknown,0.0000,80.0000,0,3,312,390,0.1220,0.3105,0.010460
15,1818057f_eval,unknown,0.0000,63.1783,0,3,326,516,0.1220,0.8000,0.028591
15,195c6913_eval,unknown,0.0000,78.3242,0,3,1290,1647,0.4713,0.7830,0.162668
15,1ae2feb7_eval,unknown,0.0000,78.8603,0,3,429,544,0.1665,0.3562,0.013696
15,20270e3b_eval,unknown,0.0000,70.3488,0,4,121,172,0.0486,0.5064,0.038082
15,20a9e565_eval,unknown,0.0000,60.6383,0,3,57,94,0.1554,0.8461,0.554555
15,21897d95_eval,unknown,0.0000,65.1751,0,4,335,514,0.0212,0.9460,0.188063
15,221dfab4_eval,unknown,0.0000,83.5950,0,2,1065,1274,0.8791,0.4430,0.480121
15,247ef758_eval,unknown,0.0000,60.0398,0,3,302,503,0.1769,0.5466,0.090929
15,269e22fb_eval,unknown,0.0000,55.3885,0,5,1105,1995,0.0961,0.9363,0.382298
15,271d71e2_eval,unknown,0.0000,70.8502,0,3,350,494,0.1727,0.5667,0.125709
15,28a6681f_eval,unknown,0.0000,63.2997,0,3,188,297,0.1287,0.3216,0.029700
15,291dc1e1_eval,unknown,0.0000,63.5135,0,4,188,296,0.1083,0.6028,0.157294
15,2b83f449_eval,unknown,0.0000,55.5819,0,2,234,421,0.2425,0.4709,0.071400
15,2ba387bc_eval,unknown,0.0000,65.0000,0,4,247,380,0.4609,0.4589,0.346227
15,2c181942_eval,unknown,0.0000,94.0075,0,3,1255,1335,0.8063,0.6889,0.441946
15,2d0172a1_eval,unknown,0.0000,57.8397,0,4,166,287,0.5080,0.3572,0.252932
15,31f7f899_eval,unknown,0.0000,74.3182,0,3,327,440,0.2184,0.5000,0.021279
15,332f06d7_eval,unknown,0.0000,75.8671,0,4,525,692,0.2620,0.8264,0.026940
15,35ab12c3_eval,unknown,0.0000,74.2072,0,3,702,946,0.5384,0.3042,0.089438
15,36a08778_eval,unknown,0.0000,61.1702,0,6,575,940,0.2361,0.2341,0.033692
15,38007db0_eval,unknown,0.0000,64.0152,0,2,169,264,0.3758,0.5808,0.397979
15,3a25b0d8_eval,unknown,0.0000,49.5238,0,2,104,210,0.6473,0.3327,0.235918
15,3dc255db_eval,unknown,0.0000,79.4805,0,3,306,385,0.2037,0.5667,0.019734
15,3e6067c3_eval,unknown,0.0000,77.4892,0,3,1074,1386,0.6049,0.1304,0.091963
15,409aa875_eval,unknown,0.0000,89.6732,0,3,686,765,0.3297,0.3732,0.046538
15,446ef5d2_eval,unknown,0.0000,76.3314,0,2,258,338,0.1442,0.7140,0.129116
15,45a5af55_eval,unknown,0.0000,71.3600,0,2,892,1250,0.0975,0.9880,0.643687
15,4a21e3da_eval,unknown,0.0000,89.0609,0,3,863,969,0.3874,0.5564,0.118370
15,4c3d4a41_eval,unknown,0.0000,67.6101,0,2,215,318,0.1683,0.4536,0.068494
15,4c416de3_eval,unknown,0.0000,84.3750,0,3,1188,1408,0.5746,0.4238,0.138895
15,4c7dc4dd_eval,unknown,0.0000,56.4103,0,2,22,39,0.1600,0.8410,0.480625
15,4e34c42c_eval,unknown,0.0000,53.5714,0,2,90,168,0.6868,0.1472,0.112366
15,53fb4810_eval,unknown,0.0000,78.6730,0,2,498,633,0.4141,0.1722,0.031208
15,5545f144_eval,unknown,0.0000,95.9108,0,3,258,269,0.2601,0.3710,0.175122
15,581f7754_eval,unknown,0.0000,84.4857,0,3,501,593,0.2248,0.5677,0.067573
15,58490d8a_eval,unknown,0.0000,87.7419,0,3,136,155,0.0658,0.9122,0.611839
15,58f5dbd5_eval,unknown,0.0000,58.5648,0,3,253,432,0.2425,0.4342,0.159481
15,5961cc34_eval,unknown,0.0000,90.1012,0,4,1602,1778,0.4063,0.7963,0.189772
15,5dbc8537_eval,unknown,0.0000,65.0177,0,2,184,283,0.0445,0.8745,0.293970
15,62593bfd_eval,unknown,0.0000,95.3846,0,2,1364,1430,0.7442,0.6083,0.400596
15,64efde09_eval,unknown,0.0000,79.5299,0,2,1049,1319,0.6212,0.4590,0.118364
15,65b59efc_eval,unknown,0.0000,61.9898,0,3,486,784,0.0515,0.7740,0.211381
15,67e490f4_eval,unknown,0.0000,70.8333,0,2,204,288,0.1151,0.9097,0.674356
15,6e453dd6_eval,unknown,0.0000,64.6003,0,3,396,613,0.1272,0.6996,0.062116
15,6e4f6532_eval,unknown,0.0000,78.4585,0,2,794,1012,0.4238,0.7003,0.125365
15,6ffbe589_eval,unknown,0.0000,40.4372,0,3,148,366,0.1502,0.6758,0.160369
15,71e489b6_eval,unknown,0.0000,79.0865,0,3,658,832,0.2414,0.5792,0.041926
15,7491f3cf_eval,unknown,0.0000,47.2701,0,4,329,696,0.1332,0.3909,0.021803
15,7666fa5d_eval,unknown,0.0000,61.1765,0,2,312,510,0.3310,0.1975,0.042833
15,78332cb0_eval,unknown,0.0000,63.1206,0,3,178,282,0.0797,0.6006,0.057278
15,7b0280bc_eval,unknown,0.0000,70.0846,0,3,663,946,0.3839,0.3338,0.095822
15,7b3084d4_eval,unknown,0.0000,48.9933,0,3,73,149,0.0148,0.9733,0.320569
15,7b5033c1_eval,unknown,0.0000,86.3636,0,2,38,44,0.0737,0.7930,0.375392
15,7b80bb43_eval,unknown,0.0000,87.3913,0,2,1005,1150,0.7775,0.1483,0.103218
15,7c66cb00_eval,unknown,0.0000,87.3435,0,3,1884,2157,0.8544,0.6261,0.544474
15,7ed72f31_eval,unknown,0.0000,84.0557,0,2,543,646,0.4193,0.2214,0.039388
15,800d221b_eval,unknown,0.0000,63.8778,0,3,481,753,0.2513,0.5568,0.132797
15,80a900e0_eval,unknown,0.0000,3.9078,0,2,39,998,0.6586,0.0519,0.002693
15,8698868d_eval,unknown,0.0000,50.6135,0,2,165,326,0.1106,0.8509,0.356924
15,88bcf3b4_eval,unknown,0.0000,84.1945,0,5,554,658,0.1780,0.3729,0.031693
15,88e364bc_eval,unknown,0.0000,72.5146,0,3,868,1197,0.6374,0.2021,0.088923
15,89565ca0_eval,unknown,0.0000,48.8889,0,3,22,45,0.1026,0.8877,0.435508
15,898e7135_eval,unknown,0.0000,89.0313,0,2,625,702,0.1225,0.9775,0.730993
15,8b7bacbf_eval,unknown,0.0000,64.7338,0,4,681,1052,0.4477,0.1401,0.046007
15,8b9c3697_eval,unknown,0.0000,87.6099,0,3,1096,1251,0.6947,0.3147,0.147194
15,8e5c0c38_eval,unknown,0.0000,91.4079,0,2,883,966,0.8336,0.1937,0.110448
15,8f215267_eval,unknown,0.0000,86.9307,0,3,1317,1515,0.8122,0.4093,0.318917
15,8f3a5a89_eval,unknown,0.0000,72.2444,0,3,544,753,0.4013,0.2717,0.095859
15,9385bd28_eval,unknown,0.0000,70.8955,0,4,475,670,0.2326,0.4835,0.089683
15,97d7923e_eval,unknown,0.0000,85.3904,0,3,339,397,0.2033,0.4861,0.069191
15,981571dc_eval,unknown,0.0000,22.0523,0,4,793,3596,0.1977,1.0000,0.050890
15,9aaea919_eval,unknown,0.0000,89.9889,0,3,2427,2697,0.8836,0.8089,0.494037
15,9bbf930d_eval,unknown,0.0000,69.5167,0,3,561,807,0.2088,0.5972,0.007554
15,a251c730_eval,unknown,0.0000,74.2424,0,2,245,330,0.2647,0.7504,0.628992
15,a25697e4_eval,unknown,0.0000,96.2138,0,3,1296,1347,0.4638,0.8258,0.081842
15,a32d8b75_eval,unknown,0.0000,72.3034,0,3,1039,1437,0.2317,0.8273,0.462746
15,a395ee82_eval,unknown,0.0000,92.8226,0,3,1345,1449,0.4943,0.5850,0.106282
15,a47bf94d_eval,unknown,0.0000,73.3189,0,3,1014,1383,0.3878,0.3289,0.026794
15,a6f40cea_eval,unknown,0.0000,65.7795,0,3,173,263,0.3485,0.3652,0.251154
15,aa4ec2a5_eval,unknown,0.0000,68.9974,0,3,1046,1516,0.4794,0.4018,0.142734
15,abc82100_eval,unknown,0.0000,80.2817,0,4,570,710,0.1717,0.6633,0.055883
15,b0039139_eval,unknown,0.0000,46.9027,0,4,53,113,0.0262,0.8123,0.085859
15,b10624e5_eval,unknown,0.0000,83.1731,0,2,1211,1456,0.7583,0.1098,0.031541
15,b5ca7ac4_eval,unknown,0.0000,74.6722,0,3,1082,1449,0.3127,0.7991,0.351957
15,b6f77b65_eval,unknown,0.0000,72.7273,0,5,520,715,0.1107,0.7862,0.049433
15,b99e7126_eval,unknown,0.0000,45.1190,0,3,1137,2520,0.4488,0.8571,0.045349
15,b9e38dc0_eval,unknown,0.0000,76.1905,0,3,480,630,0.1476,0.8567,0.097252
15,bf45cf4b_eval,unknown,0.0000,50.7003,0,3,181,357,0.1008,0.6045,0.074524
15,c4d067a0_eval,unknown,0.0000,90.9722,0,3,1441,1584,0.5853,0.3148,0.039770
15,c7f57c3e_eval,unknown,0.0000,86.8421,0,2,561,646,0.3327,0.7500,0.043961
15,cb2d8a2c_eval,unknown,0.0000,85.0216,0,4,982,1155,0.3363,0.5023,0.057019
15,cbebaa4b_eval,unknown,0.0000,89.2340,0,2,862,966,0.5933,0.7556,0.334725
15,d35bdbdc_eval,unknown,0.0000,67.6768,0,3,201,297,0.0673,1.0000,0.053792
15,d59b0160_eval,unknown,0.0000,76.0784,0,3,582,765,0.2038,0.9916,0.155388
15,d8e07eb2_eval,unknown,0.0000,68.1032,0,5,2244,3295,0.6340,0.5954,0.316713
15,da515329_eval,unknown,0.0000,48.4677,0,3,427,881,0.2382,0.4424,0.094048
15,db0c5428_eval,unknown,0.0000,63.6461,0,3,597,938,0.2989,0.6615,0.125098
15,db695cfb_eval,unknown,0.0000,84.3931,0,5,584,692,0.1951,0.0000,0.000000
15,dbff022c_eval,unknown,0.0000,54.8173,0,3,165,301,0.0910,0.1111,0.001222
15,dd6b8c4b_eval,unknown,0.0000,73.6111,0,3,265,360,0.1265,1.0000,0.025230
15,de809cff_eval,unknown,0.0000,69.0476,0,2,551,798,0.2786,0.7146,0.151728
15,dfadab01_eval,unknown,0.0000,59.2369,0,4,590,996,0.1810,0.5447,0.072824
15,e12f9a14_eval,unknown,0.0000,73.9831,0,4,873,1180,0.2703,0.2429,0.032363
15,e3721c99_eval,unknown,0.0000,83.7041,0,2,1505,1798,0.6574,1.0000,0.704398
