epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
71,0934a4d8_eval,unknown,0.0000,22.4719,0,4,20,89,0.0965,0.9037,0.195748
71,135a2760_eval,unknown,0.0000,41.5238,0,2,218,525,0.1246,0.1111,0.001006
71,136b0064_eval,unknown,0.0000,79.3860,0,3,181,228,0.1350,0.3525,0.073169
71,13e47133_eval,unknown,0.0000,42.1791,0,3,391,927,0.0630,0.8813,0.160630
71,142ca369_eval,unknown,0.0000,83.0508,0,3,931,1121,0.3852,0.0119,0.000860
71,16b78196_eval,unknown,0.0000,94.8276,0,2,1705,1798,0.9004,0.8168,0.740572
71,16de56c4_eval,unknown,0.0000,84.1026,0,3,328,390,0.1327,0.1994,0.006847
71,1818057f_eval,unknown,0.0000,62.0155,0,3,320,516,0.1153,0.8000,0.027330
71,195c6913_eval,unknown,0.0000,76.8063,0,3,1265,1647,0.4624,0.7816,0.157238
71,1ae2feb7_eval,unknown,0.0000,80.1471,0,3,436,544,0.1643,0.5389,0.020840
71,20270e3b_eval,unknown,0.0000,66.8605,0,4,115,172,0.0403,0.6127,0.044555
71,20a9e565_eval,unknown,0.0000,65.9574,0,3,62,94,0.7933,0.2044,0.187482
71,21897d95_eval,unknown,0.0000,72.5681,0,4,373,514,0.0157,0.9741,0.213605
71,221dfab4_eval,unknown,0.0000,79.3564,0,2,1011,1274,0.7896,0.5581,0.445519
71,247ef758_eval,unknown,0.0000,57.6541,0,3,290,503,0.1769,0.5206,0.084087
71,269e22fb_eval,unknown,0.0000,59.1479,0,5,1180,1995,0.0920,0.9447,0.411532
71,271d71e2_eval,unknown,0.0000,72.6721,0,3,359,494,0.1685,0.5927,0.135339
71,28a6681f_eval,unknown,0.0000,61.9529,0,3,184,297,0.1230,0.3784,0.033618
71,291dc1e1_eval,unknown,0.0000,58.1081,0,4,172,296,0.0573,0.8145,0.185741
71,2b83f449_eval,unknown,0.0000,57.0071,0,2,240,421,0.2198,0.5536,0.085874
71,2ba387bc_eval,unknown,0.0000,62.8947,0,4,239,380,0.4621,0.4459,0.319232
71,2c181942_eval,unknown,0.0000,93.4082,0,3,1247,1335,0.8090,0.6463,0.423133
71,2d0172a1_eval,unknown,0.0000,59.2334,0,4,170,287,0.4890,0.4060,0.287037
71,31f7f899_eval,unknown,0.0000,76.8182,0,3,338,440,0.2258,0.5000,0.022198
71,332f06d7_eval,unknown,0.0000,76.8786,0,4,532,692,0.2585,0.9097,0.033753
71,35ab12c3_eval,unknown,0.0000,76.8499,0,3,727,946,0.5651,0.1927,0.053139
71,36a08778_eval,unknown,0.0000,59.1489,0,6,556,940,0.2061,0.3551,0.042674
71,38007db0_eval,unknown,0.0000,63.2576,0,2,167,264,0.3076,0.6741,0.434683
71,3a25b0d8_eval,unknown,0.0000,53.8095,0,2,113,210,0.2485,0.7720,0.449348
71,3dc255db_eval,unknown,0.0000,79.7403,0,3,307,385,0.2031,0.6083,0.020943
71,3e6067c3_eval,unknown,0.0000,78.4271,0,3,1087,1386,0.6012,0.1708,0.115637
71,409aa875_eval,unknown,0.0000,90.1961,0,3,690,765,0.3251,0.4239,0.053924
71,446ef5d2_eval,unknown,0.0000,77.5148,0,2,262,338,0.1463,0.6453,0.129156
71,45a5af55_eval,unknown,0.0000,73.9200,0,2,924,1250,0.0982,0.9870,0.665852
71,4a21e3da_eval,unknown,0.0000,88.7513,0,3,860,969,0.3883,0.5495,0.116656
71,4c3d4a41_eval,unknown,0.0000,72.0126,0,2,229,318,0.1662,0.4796,0.077487
71,4c416de3_eval,unknown,0.0000,84.3040,0,3,1187,1408,0.5742,0.4102,0.131463
71,4c7dc4dd_eval,unknown,0.0000,56.4103,0,2,22,39,0.1580,0.8424,0.490343
71,4e34c42c_eval,unknown,0.0000,32.7381,0,2,55,168,0.0900,0.9107,0.281041
71,53fb4810_eval,unknown,0.0000,77.0932,0,2,488,633,0.4011,0.2059,0.035033
71,5545f144_eval,unknown,0.0000,90.3346,0,3,243,269,0.2038,0.5652,0.248586
71,581f7754_eval,unknown,0.0000,84.4857,0,3,501,593,0.2303,0.5094,0.062253
71,58490d8a_eval,unknown,0.0000,89.0323,0,3,138,155,0.0667,0.9122,0.618513
71,58f5dbd5_eval,unknown,0.0000,59.0278,0,3,255,432,0.1257,0.7847,0.261291
71,5961cc34_eval,unknown,0.0000,89.8763,0,4,1598,1778,0.4227,0.7574,0.183642
71,5dbc8537_eval,unknown,0.0000,62.1908,0,2,176,283,0.0439,0.9032,0.286140
71,62593bfd_eval,unknown,0.0000,95.2448,0,2,1362,1430,0.7330,0.6781,0.420417
71,64efde09_eval,unknown,0.0000,78.3927,0,2,1034,1319,0.6157,0.3611,0.106855
71,65b59efc_eval,unknown,0.0000,62.8827,0,3,493,784,0.0504,0.7850,0.216484
71,67e490f4_eval,unknown,0.0000,71.5278,0,2,206,288,0.1301,0.8947,0.667744
71,6e453dd6_eval,unknown,0.0000,64.9266,0,3,398,613,0.1216,0.7794,0.070168
71,6e4f6532_eval,unknown,0.0000,78.0632,0,2,790,1012,0.4082,0.7644,0.144412
71,6ffbe589_eval,unknown,0.0000,41.5301,0,3,152,366,0.2395,0.4611,0.128467
71,71e489b6_eval,unknown,0.0000,78.8462,0,3,656,832,0.2436,0.5696,0.039396
71,7491f3cf_eval,unknown,0.0000,44.6839,0,4,311,696,0.1135,0.6404,0.031157
71,7666fa5d_eval,unknown,0.0000,72.9412,0,2,372,510,0.2803,0.4167,0.114382
71,78332cb0_eval,unknown,0.0000,61.7021,0,3,174,282,0.0742,0.6508,0.059606
71,7b0280bc_eval,unknown,0.0000,69.9789,0,3,662,946,0.3829,0.3329,0.096903
71,7b3084d4_eval,unknown,0.0000,46.3087,0,3,69,149,0.0190,0.9658,0.283265
71,7b5033c1_eval,unknown,0.0000,86.3636,0,2,38,44,0.0090,0.9746,0.443552
71,7b80bb43_eval,unknown,0.0000,87.4783,0,2,1006,1150,0.7768,0.1534,0.108059
71,7c66cb00_eval,unknown,0.0000,86.5554,0,3,1867,2157,0.8632,0.5680,0.511487
71,7ed72f31_eval,unknown,0.0000,83.7461,0,2,541,646,0.4124,0.2824,0.049598
71,800d221b_eval,unknown,0.0000,63.0810,0,3,475,753,0.2485,0.5543,0.132257
71,80a900e0_eval,unknown,0.0000,22.3447,0,2,223,998,0.4882,0.4070,0.109736
71,8698868d_eval,unknown,0.0000,46.9325,0,2,153,326,0.0626,0.9448,0.359212
71,88bcf3b4_eval,unknown,0.0000,82.8267,0,5,545,658,0.1824,0.2879,0.023348
71,88e364bc_eval,unknown,0.0000,72.1805,0,3,864,1197,0.6106,0.2937,0.138433
71,89565ca0_eval,unknown,0.0000,48.8889,0,3,22,45,0.0566,0.9412,0.429840
71,898e7135_eval,unknown,0.0000,87.3219,0,2,613,702,0.1190,0.9844,0.718001
71,8b7bacbf_eval,unknown,0.0000,63.9734,0,4,673,1052,0.4410,0.1361,0.044272
71,8b9c3697_eval,unknown,0.0000,88.8889,0,3,1112,1251,0.6935,0.3736,0.174061
71,8e5c0c38_eval,unknown,0.0000,91.0973,0,2,880,966,0.8542,0.0583,0.036399
71,8f215267_eval,unknown,0.0000,87.6568,0,3,1328,1515,0.8259,0.3858,0.317519
71,8f3a5a89_eval,unknown,0.0000,72.7756,0,3,548,753,0.3286,0.5767,0.171346
71,9385bd28_eval,unknown,0.0000,71.9403,0,4,482,670,0.2303,0.4816,0.095690
71,97d7923e_eval,unknown,0.0000,85.3904,0,3,339,397,0.2033,0.4861,0.069191
71,981571dc_eval,unknown,0.0000,21.0234,0,4,756,3596,0.1933,1.0000,0.047656
71,9aaea919_eval,unknown,0.0000,89.3956,0,3,2411,2697,0.8721,0.8089,0.457517
71,9bbf930d_eval,unknown,0.0000,73.2342,0,3,591,807,0.2202,0.5972,0.008088
71,a251c730_eval,unknown,0.0000,72.1212,0,2,238,330,0.1290,0.8911,0.674059
71,a25697e4_eval,unknown,0.0000,95.8426,0,3,1291,1347,0.4657,0.7511,0.074293
71,a32d8b75_eval,unknown,0.0000,63.3264,0,3,910,1437,0.2544,0.7637,0.379189
71,a395ee82_eval,unknown,0.0000,91.9945,0,3,1333,1449,0.4865,0.6141,0.108075
71,a47bf94d_eval,unknown,0.0000,76.3557,0,3,1056,1383,0.3997,0.3817,0.032775
71,a6f40cea_eval,unknown,0.0000,62.7376,0,3,165,263,0.2666,0.5133,0.311643
71,aa4ec2a5_eval,unknown,0.0000,79.4195,0,3,1204,1516,0.3945,0.7774,0.270326
71,abc82100_eval,unknown,0.0000,80.8451,0,4,574,710,0.1727,0.6772,0.056862
71,b0039139_eval,unknown,0.0000,47.7876,0,4,54,113,0.0241,0.8493,0.092809
71,b10624e5_eval,unknown,0.0000,83.0357,0,2,1209,1456,0.7601,0.0913,0.026005
71,b5ca7ac4_eval,unknown,0.0000,75.9834,0,3,1101,1449,0.2996,0.8485,0.373627
71,b6f77b65_eval,unknown,0.0000,71.7483,0,5,513,715,0.1148,0.7525,0.044729
71,b99e7126_eval,unknown,0.0000,45.8730,0,3,1156,2520,0.4552,0.8571,0.046677
71,b9e38dc0_eval,unknown,0.0000,75.7143,0,3,477,630,0.1425,0.8769,0.096374
