epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
4,0934a4d8_eval,S3,0.0000,31.4607,0,4,28,89,0.6171,0.3821,0.182537
4,135a2760_eval,S3,0.0000,97.9048,0,2,514,525,0.2881,0.1667,0.006522
4,136b0064_eval,C1,0.0000,82.0175,0,3,187,228,0.1298,0.3751,0.083533
4,13e47133_eval,S3,0.0000,81.8770,0,3,759,927,0.0868,0.9562,0.335272
4,142ca369_eval,S3,0.0000,89.4737,0,3,1003,1121,0.3971,0.1548,0.025610
4,16b78196_eval,S3,0.0000,96.0512,0,2,1727,1798,0.9166,0.8031,0.809648
4,16de56c4_eval,C1,0.0000,89.7436,0,3,350,390,0.1353,0.3390,0.011617
4,1818057f_eval,C1,0.0000,95.1550,0,3,491,516,0.1724,0.4037,0.037247
4,195c6913_eval,S3,0.0000,91.6211,0,3,1509,1647,0.5443,0.6432,0.185569
4,1ae2feb7_eval,C1,0.0000,91.1765,0,3,496,544,0.1843,0.5226,0.023456
4,20270e3b_eval,C1,0.0000,65.6977,0,4,113,172,0.0543,0.4129,0.030492
4,20a9e565_eval,S3,0.0000,73.4043,0,3,69,94,0.0884,0.9164,0.670369
4,21897d95_eval,C1,0.0000,87.3541,0,4,449,514,0.0259,0.9807,0.261281
4,221dfab4_eval,S3,0.0000,94.0345,0,2,1198,1274,0.7904,0.8663,0.839637
4,247ef758_eval,C1,0.0000,89.0656,0,3,448,503,0.1444,0.8583,0.203817
4,269e22fb_eval,S2,0.0000,65.6140,0,5,1309,1995,0.1008,0.9413,0.457975
4,271d71e2_eval,C1,0.0000,85.2227,0,3,421,494,0.1350,0.8969,0.208036
4,28a6681f_eval,C1,0.0000,95.6229,0,3,284,297,0.0884,0.9850,0.131385
4,291dc1e1_eval,C1,0.0000,66.5541,0,4,197,296,0.1307,0.5258,0.141176
4,2b83f449_eval,C1,0.0000,77.6722,0,2,327,421,0.2221,0.7222,0.153125
4,2ba387bc_eval,S3,0.0000,74.7368,0,4,284,380,0.1876,0.8108,0.595732
4,2c181942_eval,S3,0.0000,95.4307,0,3,1274,1335,0.8216,0.6720,0.480650
4,2d0172a1_eval,S3,0.0000,67.9443,0,4,195,287,0.4584,0.4885,0.337536
4,31f7f899_eval,S3,0.0000,92.0455,0,3,405,440,0.2852,0.1111,0.008944
4,332f06d7_eval,C1,0.0000,97.3988,0,4,674,692,0.3302,0.6944,0.042488
4,35ab12c3_eval,S3,0.0000,87.4207,0,3,827,946,0.5424,0.4946,0.181912
4,36a08778_eval,C1,0.0000,79.5745,0,6,748,940,0.2662,0.3760,0.073985
4,38007db0_eval,S3,0.0000,74.2424,0,2,196,264,0.5752,0.3285,0.307316
4,3a25b0d8_eval,S3,0.0000,56.6667,0,2,119,210,0.6483,0.3276,0.250760
4,3dc255db_eval,C1,0.0000,95.3247,0,3,367,385,0.2492,0.3667,0.016775
4,3e6067c3_eval,S3,0.0000,96.6089,0,3,1339,1386,0.5046,0.8921,0.509487
4,409aa875_eval,S3,0.0000,96.6013,0,3,739,765,0.3063,0.8272,0.110423
4,446ef5d2_eval,C1,0.0000,81.3609,0,2,275,338,0.1181,0.8546,0.170781
4,45a5af55_eval,S2,0.0000,90.5600,0,2,1132,1250,0.1010,0.9862,0.817931
4,4a21e3da_eval,S3,0.0000,87.4097,0,3,847,969,0.3924,0.4822,0.101752
