epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
8,0934a4d8_eval,S3,0.0000,23.5955,0,4,21,89,0.1282,0.8726,0.214612
8,135a2760_eval,S3,0.0000,58.4762,0,2,307,525,0.1741,0.1667,0.002617
8,136b0064_eval,C1,0.0000,74.5614,0,3,170,228,0.1261,0.3753,0.072588
8,13e47133_eval,S3,0.0000,41.7476,0,3,387,927,0.0897,0.8094,0.151355
8,142ca369_eval,S3,0.0000,80.4639,0,3,902,1121,0.3745,0.0128,0.001042
8,16b78196_eval,S3,0.0000,93.8821,0,2,1688,1798,0.9066,0.7813,0.712336
8,16de56c4_eval,C1,0.0000,82.3077,0,3,321,390,0.1250,0.3291,0.011238
8,1818057f_eval,C1,0.0000,62.7907,0,3,324,516,0.1194,0.8000,0.028143
8,195c6913_eval,S3,0.0000,79.4171,0,3,1308,1647,0.4828,0.7324,0.154587
8,1ae2feb7_eval,C1,0.0000,74.0809,0,3,403,544,0.1565,0.5258,0.017963
8,20270e3b_eval,C1,0.0000,66.2791,0,4,114,172,0.0328,0.6795,0.049721
8,20a9e565_eval,S3,0.0000,65.9574,0,3,62,94,0.4369,0.5624,0.402182
8,21897d95_eval,C1,0.0000,71.4008,0,4,367,514,0.0173,0.9727,0.210883
8,221dfab4_eval,S3,0.0000,85.4788,0,2,1089,1274,0.8634,0.4972,0.525622
8,247ef758_eval,C1,0.0000,54.4732,0,3,274,503,0.2182,0.2686,0.043801
8,269e22fb_eval,S2,0.0000,58.4962,0,5,1167,1995,0.0867,0.9516,0.408233
8,271d71e2_eval,C1,0.0000,75.1012,0,3,371,494,0.1523,0.7036,0.161132
8,28a6681f_eval,C1,0.0000,63.9731,0,3,190,297,0.1402,0.2338,0.022743
8,291dc1e1_eval,C1,0.0000,64.1892,0,4,190,296,0.0345,0.9318,0.225548
8,2b83f449_eval,C1,0.0000,56.0570,0,2,236,421,0.2418,0.4709,0.072007
8,2ba387bc_eval,S3,0.0000,65.2632,0,4,248,380,0.4680,0.4598,0.352182
8,2c181942_eval,S3,0.0000,93.5581,0,3,1249,1335,0.8063,0.6656,0.431415
8,2d0172a1_eval,S3,0.0000,57.4913,0,4,165,287,0.2906,0.6424,0.389048
8,31f7f899_eval,S3,0.0000,76.3636,0,3,336,440,0.2231,0.5417,0.024918
8,332f06d7_eval,C1,0.0000,76.3006,0,4,528,692,0.2635,0.8264,0.027211
8,35ab12c3_eval,S3,0.0000,77.6956,0,3,735,946,0.5825,0.1178,0.043796
8,36a08778_eval,C1,0.0000,62.8723,0,6,591,940,0.2428,0.3531,0.034340
8,38007db0_eval,S3,0.0000,55.6818,0,2,147,264,0.3697,0.5962,0.348405
8,3a25b0d8_eval,S3,0.0000,53.8095,0,2,113,210,0.1673,0.8583,0.470889
8,3dc255db_eval,C1,0.0000,78.4416,0,3,302,385,0.2011,0.5667,0.019331
8,3e6067c3_eval,S3,0.0000,77.7778,0,3,1078,1386,0.5975,0.1733,0.117058
8,409aa875_eval,S3,0.0000,87.7124,0,3,671,765,0.3407,0.1613,0.023587
8,446ef5d2_eval,C1,0.0000,80.7692,0,2,273,338,0.1360,0.7651,0.150767
8,45a5af55_eval,S2,0.0000,62.9600,0,2,787,1250,0.1010,0.9820,0.567554
8,4a21e3da_eval,S3,0.0000,88.3385,0,3,856,969,0.3805,0.5664,0.119380
8,4c3d4a41_eval,C1,0.0000,66.0377,0,2,210,318,0.1710,0.4273,0.063191
8,4c416de3_eval,S3,0.0000,84.3750,0,3,1188,1408,0.5728,0.4324,0.139843
8,4c7dc4dd_eval,S3,0.0000,66.6667,0,2,26,39,0.1587,0.8424,0.598965
8,4e34c42c_eval,S3,0.0000,50.0000,0,2,84,168,0.6690,0.1672,0.116290
8,53fb4810_eval,S3,0.0000,76.7773,0,2,486,633,0.4107,0.1281,0.022827
8,5545f144_eval,S3,0.0000,93.3086,0,3,251,269,0.2189,0.5152,0.233792
8,581f7754_eval,S3,0.0000,83.4739,0,3,495,593,0.2207,0.6037,0.068846
8,58490d8a_eval,S3,0.0000,87.0968,0,3,135,155,0.0667,0.9122,0.603881
8,58f5dbd5_eval,S3,0.0000,57.1759,0,3,247,432,0.1539,0.6533,0.218737
8,5961cc34_eval,S3,0.0000,89.3701,0,4,1589,1778,0.4174,0.7572,0.180820
8,5dbc8537_eval,S3,0.0000,65.0177,0,2,184,283,0.0256,0.9299,0.308004
8,62593bfd_eval,S3,0.0000,94.3357,0,2,1349,1430,0.7303,0.6937,0.422759
8,64efde09_eval,S3,0.0000,78.0136,0,2,1029,1319,0.6329,0.3292,0.077942
