variant,n_runs,grid_mean,grid_std,grid_ci95,cell_mean,cell_std,cell_ci95
exp2_champion_arc-agi-2_s307_csv,1,0.0027933,,,0.90015921,,
exp2_champion_arc-agi-2_s308_csv,1,0.0027933,,,0.90142889,,
exp2_champion_arc-agi-2_s309_csv,1,0.0027933,,,0.89869808,,
exp2_champion_arc-agi-2_s310_csv,1,0.0027933,,,0.89959491,,
exp2_champion_arc-agi-2_s311_csv,1,0.00558659,,,0.86879018,,
exp3_champion_arc-agi-2_s307_csv,1,0.0,,,0.03277174,,
exp3_champion_arc-agi-2_s308_csv,1,0.0,,,0.05758157,,
exp3_champion_arc-agi-2_s309_csv,1,0.0,,,0.06341082,,
exp3_champion_arc-agi-2_s310_csv,1,0.0,,,0.13848013,,
exp3_champion_arc-agi-2_s311_csv,1,0.0,,,0.05950096,,
exp3b_merged_lora_arc-agi-2_s307_csv,1,0.0,,,0.12561314,,
exp3b_merged_lora_arc-agi-2_s308_csv,1,0.0,,,0.04379043,,
exp3b_merged_lora_arc-agi-2_s309_csv,1,0.0,,,0.01599488,,
exp3b_merged_lora_arc-agi-2_s310_csv,1,0.0,,,0.07073292,,
exp3b_merged_lora_arc-agi-2_s311_csv,1,0.0,,,0.06739177,,
