run,variant,best_epoch_grid,best_epoch_cell,epoch_lag_cell_minus_grid,pearson_grid_cell
exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,0.0,3.0,3.0,0.6899777557860655
exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,0.0,0.0,0.0,0.4750656001071011
exp2_champion_arc-agi-2_s309_csv,exp2_champion_arc-agi-2_s309_csv,0.0,3.0,3.0,0.676761362665445
exp2_champion_arc-agi-2_s310_csv,exp2_champion_arc-agi-2_s310_csv,0.0,2.0,2.0,0.5565839811375964
exp2_champion_arc-agi-2_s311_csv,exp2_champion_arc-agi-2_s311_csv,74.0,3.0,-71.0,0.5994709612471162
exp3_champion_arc-agi-2_s307_csv,exp3_champion_arc-agi-2_s307_csv,0.0,12.0,12.0,
exp3_champion_arc-agi-2_s308_csv,exp3_champion_arc-agi-2_s308_csv,0.0,19.0,19.0,
exp3_champion_arc-agi-2_s309_csv,exp3_champion_arc-agi-2_s309_csv,0.0,81.0,81.0,
exp3_champion_arc-agi-2_s310_csv,exp3_champion_arc-agi-2_s310_csv,0.0,7.0,7.0,
exp3_champion_arc-agi-2_s311_csv,exp3_champion_arc-agi-2_s311_csv,0.0,46.0,46.0,
exp3b_merged_lora_arc-agi-2_s307_csv,exp3b_merged_lora_arc-agi-2_s307_csv,0.0,15.0,15.0,
exp3b_merged_lora_arc-agi-2_s308_csv,exp3b_merged_lora_arc-agi-2_s308_csv,0.0,48.0,48.0,
exp3b_merged_lora_arc-agi-2_s309_csv,exp3b_merged_lora_arc-agi-2_s309_csv,0.0,13.0,13.0,
exp3b_merged_lora_arc-agi-2_s310_csv,exp3b_merged_lora_arc-agi-2_s310_csv,0.0,93.0,93.0,
exp3b_merged_lora_arc-agi-2_s311_csv,exp3b_merged_lora_arc-agi-2_s311_csv,0.0,40.0,40.0,
