epoch,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_f1,run,variant,val_total_grids,val_total_cells
0,0.0,0.84616478,0.19943314,0.68182894,0.23814734,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,64,14067
0,0.0,0.84616478,0.19943314,0.68182894,0.23814734,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
0,0.0027933,0.90015921,0.3423026,0.63387338,0.25686542,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,64,14067
0,0.0027933,0.90015921,0.3423026,0.63387338,0.25686542,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
1,0.0027933,0.89935307,0.32211201,0.66622814,0.26921494,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
2,0.0027933,0.90158004,0.31380539,0.68063515,0.27680616,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
3,0.0027933,0.90187227,0.32643455,0.65822864,0.26778,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
4,0.0027933,0.90155989,0.32065003,0.66858708,0.27139783,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
5,0.0027933,0.90158004,0.31960415,0.66920048,0.27229709,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
6,0.0027933,0.89789194,0.32738994,0.65358893,0.26547617,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
7,0.0027933,0.89950422,0.31980461,0.66557081,0.27071732,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
8,0.0027933,0.89728733,0.32292594,0.66043239,0.2643313,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
9,0.0027933,0.89813378,0.317605,0.66618713,0.26845969,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
10,0.0027933,0.89843608,0.31644707,0.67521145,0.27093205,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
11,0.0027933,0.89821439,0.31417975,0.67805239,0.27164936,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
12,0.0027933,0.89450614,0.31863125,0.66399321,0.26736431,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
13,0.0027933,0.89440537,0.31802682,0.67361656,0.26794937,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
14,0.0027933,0.89407284,0.31962194,0.65876022,0.26486966,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
15,0.0027933,0.89533243,0.31339719,0.67341038,0.27083555,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
16,0.0027933,0.89432475,0.31371259,0.67287929,0.2687503,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
17,0.0027933,0.89411314,0.3125998,0.67468909,0.26940832,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
18,0.0027933,0.89181564,0.31847289,0.65842805,0.26314284,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
19,0.0027933,0.8906165,0.31500763,0.66605177,0.26130095,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
