run,variant,earliest_nonzero_epoch,nonzero_epoch_count,longest_nonzero_streak
exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,0.0,62.0,31.0
exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,0.0,63.0,17.0
exp2_champion_arc-agi-2_s309_csv,exp2_champion_arc-agi-2_s309_csv,0.0,57.0,37.0
exp2_champion_arc-agi-2_s310_csv,exp2_champion_arc-agi-2_s310_csv,0.0,69.0,45.0
exp2_champion_arc-agi-2_s311_csv,exp2_champion_arc-agi-2_s311_csv,0.0,44.0,13.0
exp3_champion_arc-agi-2_s307_csv,exp3_champion_arc-agi-2_s307_csv,,0.0,0.0
exp3_champion_arc-agi-2_s308_csv,exp3_champion_arc-agi-2_s308_csv,,0.0,0.0
exp3_champion_arc-agi-2_s309_csv,exp3_champion_arc-agi-2_s309_csv,,0.0,0.0
exp3_champion_arc-agi-2_s310_csv,exp3_champion_arc-agi-2_s310_csv,,0.0,0.0
exp3_champion_arc-agi-2_s311_csv,exp3_champion_arc-agi-2_s311_csv,,0.0,0.0
exp3b_merged_lora_arc-agi-2_s307_csv,exp3b_merged_lora_arc-agi-2_s307_csv,,0.0,0.0
exp3b_merged_lora_arc-agi-2_s308_csv,exp3b_merged_lora_arc-agi-2_s308_csv,,0.0,0.0
exp3b_merged_lora_arc-agi-2_s309_csv,exp3b_merged_lora_arc-agi-2_s309_csv,,0.0,0.0
exp3b_merged_lora_arc-agi-2_s310_csv,exp3b_merged_lora_arc-agi-2_s310_csv,,0.0,0.0
exp3b_merged_lora_arc-agi-2_s311_csv,exp3b_merged_lora_arc-agi-2_s311_csv,,0.0,0.0
