experiment_name,task_id,category,grid_accuracy,cell_accuracy
exp2_champion_arc-agi-2_s307,0934a4d8_eval,S3,0.0,20.134816
exp2_champion_arc-agi-2_s307,135a2760_eval,S3,0.0,94.411428
exp2_champion_arc-agi-2_s307,136b0064_eval,C1,0.0,79.837732
exp2_champion_arc-agi-2_s307,13e47133_eval,S3,0.0,76.066887
exp2_champion_arc-agi-2_s307,142ca369_eval,S3,0.0,88.658339
exp2_champion_arc-agi-2_s307,16b78196_eval,S3,0.0,95.46941199999999
exp2_champion_arc-agi-2_s307,16de56c4_eval,C1,0.0,86.741026
exp2_champion_arc-agi-2_s307,1818057f_eval,C1,0.0,93.127923
exp2_champion_arc-agi-2_s307,195c6913_eval,S3,0.0,90.34669099999999
exp2_champion_arc-agi-2_s307,1ae2feb7_eval,C1,0.0,90.643381
exp2_champion_arc-agi-2_s307,20270e3b_eval,C1,0.0,62.029066
exp2_champion_arc-agi-2_s307,20a9e565_eval,S3,0.0,70.393617
exp2_champion_arc-agi-2_s307,21897d95_eval,C1,0.0,76.223737
exp2_champion_arc-agi-2_s307,221dfab4_eval,S3,0.0,92.851652
exp2_champion_arc-agi-2_s307,247ef758_eval,C1,0.0,86.270375
exp2_champion_arc-agi-2_s307,269e22fb_eval,S2,0.0,62.45965
exp2_champion_arc-agi-2_s307,271d71e2_eval,C1,0.0,82.08906800000001
exp2_champion_arc-agi-2_s307,28a6681f_eval,C1,0.0,93.96970300000001
exp2_champion_arc-agi-2_s307,291dc1e1_eval,C1,0.0,60.297298
exp2_champion_arc-agi-2_s307,2b83f449_eval,C1,0.0,77.543942
exp2_champion_arc-agi-2_s307,2ba387bc_eval,S3,0.0,63.839476
exp2_champion_arc-agi-2_s307,2c181942_eval,S3,0.0,94.765543
exp2_champion_arc-agi-2_s307,2d0172a1_eval,S3,0.0,64.320558
exp2_champion_arc-agi-2_s307,31f7f899_eval,S3,0.0,91.854547
exp2_champion_arc-agi-2_s307,332f06d7_eval,C1,0.0,94.452305
exp2_champion_arc-agi-2_s307,35ab12c3_eval,S3,0.0,84.572944
exp2_champion_arc-agi-2_s307,36a08778_eval,C1,0.0,75.854254
exp2_champion_arc-agi-2_s307,38007db0_eval,S3,0.0,69.844695
exp2_champion_arc-agi-2_s307,3a25b0d8_eval,S3,0.0,49.547610999999996
exp2_champion_arc-agi-2_s307,3dc255db_eval,C1,0.0,94.337669
exp2_champion_arc-agi-2_s307,3e6067c3_eval,S3,0.0,95.689009
exp2_champion_arc-agi-2_s307,409aa875_eval,S3,0.0,95.767326
exp2_champion_arc-agi-2_s307,446ef5d2_eval,C1,0.0,80.46153699999999
exp2_champion_arc-agi-2_s307,45a5af55_eval,S2,0.0,84.7272
exp2_champion_arc-agi-2_s307,4a21e3da_eval,S3,0.0,84.43857200000001
exp2_champion_arc-agi-2_s307,4c3d4a41_eval,C1,0.0,81.69181999999999
exp2_champion_arc-agi-2_s307,4c416de3_eval,S3,0.0,92.06818600000001
exp2_champion_arc-agi-2_s307,4c7dc4dd_eval,S3,0.0,64.1026
exp2_champion_arc-agi-2_s307,4e34c42c_eval,S3,0.0,59.89285700000001
exp2_champion_arc-agi-2_s307,53fb4810_eval,S3,0.0,94.878356
exp2_champion_arc-agi-2_s307,5545f144_eval,S3,0.0,92.914502
exp2_champion_arc-agi-2_s307,581f7754_eval,S3,0.0,85.229344
exp2_champion_arc-agi-2_s307,58490d8a_eval,S3,0.0,84.225813
exp2_champion_arc-agi-2_s307,58f5dbd5_eval,S3,0.0,62.618054
exp2_champion_arc-agi-2_s307,5961cc34_eval,S3,0.0,93.506186
exp2_champion_arc-agi-2_s307,5dbc8537_eval,S3,0.0,66.32508899999999
exp2_champion_arc-agi-2_s307,62593bfd_eval,S3,0.0,94.727971
exp2_champion_arc-agi-2_s307,64efde09_eval,S3,0.0,91.447307
exp2_champion_arc-agi-2_s307,65b59efc_eval,S2,0.0,64.415819
exp2_champion_arc-agi-2_s307,67e490f4_eval,S3,0.0,70.74653099999999
exp2_champion_arc-agi-2_s307,6e453dd6_eval,C1,0.0,81.962485
exp2_champion_arc-agi-2_s307,6e4f6532_eval,S3,0.0,91.847828
exp2_champion_arc-agi-2_s307,6ffbe589_eval,S3,0.0,49.068302
exp2_champion_arc-agi-2_s307,71e489b6_eval,S3,0.0,89.092543
exp2_champion_arc-agi-2_s307,7491f3cf_eval,C1,0.0,89.018675
exp2_champion_arc-agi-2_s307,7666fa5d_eval,S3,0.0,87.113728
exp2_champion_arc-agi-2_s307,78332cb0_eval,S2,0.0,62.134753
exp2_champion_arc-agi-2_s307,7b0280bc_eval,S3,0.0,96.03700199999999
exp2_champion_arc-agi-2_s307,7b3084d4_eval,S3,0.0,55.402686
exp2_champion_arc-agi-2_s307,7b5033c1_eval,S3,0.0,69.409081
exp2_champion_arc-agi-2_s307,7b80bb43_eval,S3,0.0,97.126083
exp2_champion_arc-agi-2_s307,7c66cb00_eval,S3,0.0,94.73759899999999
exp2_champion_arc-agi-2_s307,7ed72f31_eval,S3,0.0,92.953578
exp2_champion_arc-agi-2_s307,800d221b_eval,S3,0.0,88.557777
exp2_champion_arc-agi-2_s307,80a900e0_eval,S3,0.0,91.280596
exp2_champion_arc-agi-2_s307,8698868d_eval,S3,0.0,56.162573
exp2_champion_arc-agi-2_s307,88bcf3b4_eval,S3,0.0,92.001521
exp2_champion_arc-agi-2_s307,88e364bc_eval,S3,0.0,98.258148
exp2_champion_arc-agi-2_s307,89565ca0_eval,S3,0.0,41.999997
exp2_champion_arc-agi-2_s307,898e7135_eval,S2,0.0,89.45582699999999
exp2_champion_arc-agi-2_s307,8b7bacbf_eval,S3,0.0,97.43061
exp2_champion_arc-agi-2_s307,8b9c3697_eval,S3,0.0,96.183843
exp2_champion_arc-agi-2_s307,8e5c0c38_eval,S3,0.0,97.868521
exp2_champion_arc-agi-2_s307,8f215267_eval,S3,0.0,96.480529
exp2_champion_arc-agi-2_s307,8f3a5a89_eval,S3,0.0,81.840645
exp2_champion_arc-agi-2_s307,9385bd28_eval,C1,0.0,85.799998
exp2_champion_arc-agi-2_s307,97d7923e_eval,C1,0.0,96.254404
exp2_champion_arc-agi-2_s307,981571dc_eval,S3,0.0,92.507223
exp2_champion_arc-agi-2_s307,9aaea919_eval,S3,0.0,96.51649900000001
exp2_champion_arc-agi-2_s307,9bbf930d_eval,S3,0.0,96.861217
exp2_champion_arc-agi-2_s307,a251c730_eval,S3,0.0,72.803029
exp2_champion_arc-agi-2_s307,a25697e4_eval,S3,0.0,97.045287
exp2_champion_arc-agi-2_s307,a32d8b75_eval,S3,0.0,75.522622
exp2_champion_arc-agi-2_s307,a395ee82_eval,S3,0.0,92.224292
exp2_champion_arc-agi-2_s307,a47bf94d_eval,S3,0.0,92.727392
exp2_champion_arc-agi-2_s307,a6f40cea_eval,S3,0.0,69.068437
exp2_champion_arc-agi-2_s307,aa4ec2a5_eval,S3,0.0,87.663586
exp2_champion_arc-agi-2_s307,abc82100_eval,S3,0.0,84.46197599999999
exp2_champion_arc-agi-2_s307,b0039139_eval,C1,0.0,56.40707999999999
exp2_champion_arc-agi-2_s307,b10624e5_eval,S3,0.0,95.85233
exp2_champion_arc-agi-2_s307,b5ca7ac4_eval,S3,0.0,80.806766
exp2_champion_arc-agi-2_s307,b6f77b65_eval,C1,12.2,84.03495699999999
exp2_champion_arc-agi-2_s307,b99e7126_eval,S3,0.0,97.799996
exp2_champion_arc-agi-2_s307,b9e38dc0_eval,S3,0.0,88.42380499999999
exp2_champion_arc-agi-2_s307,bf45cf4b_eval,C1,0.0,62.773109000000005
exp2_champion_arc-agi-2_s307,c4d067a0_eval,S3,0.0,96.368692
exp2_champion_arc-agi-2_s307,c7f57c3e_eval,S3,0.0,95.72132900000001
exp2_champion_arc-agi-2_s307,cb2d8a2c_eval,S3,0.0,90.165364
exp2_champion_arc-agi-2_s307,cbebaa4b_eval,S3,0.0,90.707037
exp2_champion_arc-agi-2_s307,d35bdbdc_eval,C1,0.0,92.377112
exp2_champion_arc-agi-2_s307,d59b0160_eval,C1,0.0,89.956862
exp2_champion_arc-agi-2_s307,d8e07eb2_eval,S3,0.0,93.32686
exp2_champion_arc-agi-2_s307,da515329_eval,S3,0.0,72.864927
exp2_champion_arc-agi-2_s307,db0c5428_eval,S3,0.0,79.32302800000001
exp2_champion_arc-agi-2_s307,db695cfb_eval,C1,0.0,87.93352800000001
exp2_champion_arc-agi-2_s307,dbff022c_eval,C1,0.0,95.458473
exp2_champion_arc-agi-2_s307,dd6b8c4b_eval,C1,0.0,93.34167
