run,variant,n_epochs,best_epoch_grid,best_grid,final_epoch,final_grid,stability_grid,auc_grid,auc_cell
exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,103.0,0.0,0.0027933,99.0,0.0,-0.0027933,0.16899464999999997,87.06219894499999
exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,103.0,0.0,0.0027933,99.0,0.0,-0.0027933,0.17178794999999997,87.13966424000002
exp2_champion_arc-agi-2_s309_csv,exp2_champion_arc-agi-2_s309_csv,103.0,0.0,0.0027933,99.0,0.0,-0.0027933,0.15502814999999998,87.075822745
exp2_champion_arc-agi-2_s310_csv,exp2_champion_arc-agi-2_s310_csv,103.0,0.0,0.0027933,99.0,0.0027933,0.0,0.18715109999999996,87.12099193999998
exp2_champion_arc-agi-2_s311_csv,exp2_champion_arc-agi-2_s311_csv,103.0,74.0,0.00558659,99.0,0.0,-0.00558659,0.12150854,87.10521166999999
exp3_champion_arc-agi-2_s307_csv,exp3_champion_arc-agi-2_s307_csv,103.0,0.0,0.0,99.0,0.0,0.0,0.0,71.4281928
exp3_champion_arc-agi-2_s308_csv,exp3_champion_arc-agi-2_s308_csv,103.0,0.0,0.0,99.0,0.0,0.0,0.0,71.34113444500001
exp3_champion_arc-agi-2_s309_csv,exp3_champion_arc-agi-2_s309_csv,103.0,0.0,0.0,99.0,0.0,0.0,0.0,71.821973445
exp3_champion_arc-agi-2_s310_csv,exp3_champion_arc-agi-2_s310_csv,103.0,0.0,0.0,99.0,0.0,0.0,0.0,71.250599545
exp3_champion_arc-agi-2_s311_csv,exp3_champion_arc-agi-2_s311_csv,103.0,0.0,0.0,99.0,0.0,0.0,0.0,71.65930897999999
exp3b_merged_lora_arc-agi-2_s307_csv,exp3b_merged_lora_arc-agi-2_s307_csv,103.0,0.0,0.0,99.0,0.0,0.0,0.0,71.13814767999999
exp3b_merged_lora_arc-agi-2_s308_csv,exp3b_merged_lora_arc-agi-2_s308_csv,103.0,0.0,0.0,99.0,0.0,0.0,0.0,71.79722989000001
exp3b_merged_lora_arc-agi-2_s309_csv,exp3b_merged_lora_arc-agi-2_s309_csv,103.0,0.0,0.0,99.0,0.0,0.0,0.0,71.49513798500001
exp3b_merged_lora_arc-agi-2_s310_csv,exp3b_merged_lora_arc-agi-2_s310_csv,103.0,0.0,0.0,99.0,0.0,0.0,0.0,71.663641995
exp3b_merged_lora_arc-agi-2_s311_csv,exp3b_merged_lora_arc-agi-2_s311_csv,103.0,0.0,0.0,99.0,0.0,0.0,0.0,72.129214625
