category,rank,task_id,pred_label,prob_cat,max_prob
S1,1,4c7dc4dd_eval,S3,0.1678321361541748,0.248062252998352
S1,2,458e3a53,S3,0.1672219783067703,0.241801768541336
S1,3,da6e95e5,S3,0.1671259552240371,0.223087728023529
S1,4,0934a4d8_eval,S3,0.1669045537710189,0.2405709773302078
S1,5,e84fef15,S3,0.1660673469305038,0.243977889418602
S1,6,a6f40cea_eval,S3,0.1660174876451492,0.2226912230253219
S1,7,642d658d,S3,0.1656872183084488,0.2059866338968277
S1,8,0a1d4ef5,S3,0.1653164029121399,0.2429647594690323
S1,9,afe3afe9,S3,0.165204718708992,0.2365744709968567
S1,10,20a9e565_eval,S3,0.1651638746261596,0.2397625893354416
S2,1,33067df9,S2,0.7277779579162598,0.7277779579162598
S2,2,45a5af55_eval,S2,0.717858612537384,0.717858612537384
S2,3,42f83767,S2,0.6710343360900879,0.6710343360900879
S2,4,973e499e,S2,0.6617193818092346,0.6617193818092346
S2,5,269e22fb_eval,S2,0.5617515444755554,0.5617515444755554
S2,6,469497ad,S2,0.5595882534980774,0.5595882534980774
S2,7,e3f79277,S2,0.5333292484283447,0.5333292484283447
S2,8,5b6cbef5,S2,0.5117643475532532,0.5117643475532532
S2,9,46f33fce,S2,0.5090171694755554,0.5090171694755554
S2,10,695367ec,S2,0.4994401633739471,0.4994401633739471
S3,1,b74ca5d1,S3,0.411760926246643,0.411760926246643
S3,2,ac0c5833,S3,0.3994614481925964,0.3994614481925964
S3,3,62593bfd_eval,S3,0.3958079516887665,0.3958079516887665
S3,4,696d4842,S3,0.3926339149475097,0.3926339149475097
S3,5,16b78196_eval,S3,0.387226939201355,0.387226939201355
S3,6,9772c176,S3,0.3846752941608429,0.3846752941608429
S3,7,f3b10344,S3,0.3843198716640472,0.3843198716640472
S3,8,e1d2900e,S3,0.3842026889324188,0.3842026889324188
S3,9,05a7bcf2,S3,0.3817283809185028,0.3817283809185028
S3,10,753ea09b,S3,0.3816036581993103,0.3816036581993103
C1,1,e88171ec,S3,0.2727970480918884,0.2794432342052459
C1,2,e509e548,S3,0.27156662940979,0.2844437956809997
C1,3,2dd70a9a,S3,0.2711831927299499,0.2896849513053894
C1,4,da515329_eval,S3,0.2708985805511474,0.3098920583724975
C1,5,0d87d2a6,S3,0.2707569301128387,0.2730587422847748
C1,6,31f7f899_eval,S3,0.2706685960292816,0.2727599442005157
C1,7,271d71e2_eval,C1,0.2706556916236877,0.2706556916236877
C1,8,1818057f_eval,C1,0.2706334888935089,0.2706334888935089
C1,9,8eb1be9a,S3,0.2706017792224884,0.2800842225551605
C1,10,4938f0c2,S3,0.2703748047351837,0.3255431354045868
