trial_number,val_acc,encoder_type,lr,batch_size,weight_decay,label_smoothing,embed_dim,use_scheduler,use_cosine,demo_agg,width_mult,depth,mlp_hidden,use_coords,best_epoch,train_acc,train_loss,val_acc_A1,val_acc_A2,val_acc_C1,val_acc_C2,val_acc_K1,val_acc_L1,val_acc_S1,val_acc_S2,val_acc_S3,val_loss,temperature,ctx_d_model,ctx_n_head,ctx_pixel_layers,ctx_grid_layers,ctx_dropout
3,0.21875,cnn,0.0004239861265984166,32,4.171380843524658e-06,0.02111319342055982,512,False,False,mean,2.1922216226111835,3.0,1024.0,False,2,0.24537499999999998,2.2149461269378663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5547645886739097,,,,,,
4,0.2604166666666667,cnn,0.0034765046786433473,32,1.2658289589495038e-05,0.1040525178791264,512,False,True,flatten,1.0047506083449995,2.0,2048.0,True,7,0.266375,1.9632752895355225,0.0,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,2.3441270192464194,16.005457040653074,,,,,
5,0.1640625,context,0.0002116441637673498,64,3.3204552793937194e-05,0.12718402981362223,128,False,False,,,,,,1,0.1737938596491228,2.8142905712127684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2250784635543823,,256.0,4.0,2.0,3.0,0.18211338992285997
6,0.21875,context,0.007288530772775209,32,0.04303700921412384,0.024407126619757104,128,False,True,,,,,,3,0.22487500000000002,1.9930497765541078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1228727102279663,12.538249482245696,128.0,4.0,3.0,1.0,0.022165228566790682
7,0.1640625,cnn,9.0719687123473e-05,64,1.4162040493951174e-06,0.17807175910506823,256,True,False,mean,2.800018138680818,4.0,256.0,True,1,0.20964912280701756,2.0833852291107178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.272817313671112,,,,,,
8,0.2625,cnn,9.826454219565708e-05,16,2.5839177463088415e-06,0.05006753389789791,128,True,True,mean,0.5726785695165261,6.0,512.0,False,2,0.27291666666666664,2.321200293302536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2346678256988524,14.184874830594543,,,,,
9,0.275,cnn,0.005335455956594305,16,4.567864878561295e-07,0.15154034548506873,128,True,False,flatten,2.19878875104271,6.0,256.0,True,3,0.2847222222222222,2.36486474275589,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,2.2080093145370485,,,,,,
11,0.2625,context,0.0011386010806406662,16,0.09480479887476126,0.1434152104702928,256,False,True,,,,,,1,0.1892361111111111,2.427960139513016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.041263484954834,9.713744458779686,128.0,4.0,3.0,1.0,0.1057351777446641
13,0.2625,context,0.008766075779292714,16,2.0754321881114757e-07,0.07138539110376303,768,True,False,,,,,,1,0.11111111111111112,565142.4142258645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,322355.5390625,,512.0,16.0,5.0,3.0,0.2889624073159084
14,0.25,cnn,5.0350884543821704e-05,16,1.0039195498062906e-07,0.06111140262379557,128,True,True,flatten,0.5178100591709076,6.0,512.0,False,1,0.25416666666666665,2.7162288069725036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,2.2990882873535154,6.124304247970699,,,,,
